issue_id,commit_id,method,score
MNG-1008,e41222abd0c8e0b10e16217c92d769b4e5cef802,default,1
MNG-1011,52e8a216eff2e2133f2624b1ececc46b0a3cf6b3,default,1
MNG-1021,79cad8273688daca15d78e266491602a1b3b234b,default,1
MNG-1021,53ccb4ffb069b958a123d3629d3590c071223cce,default,1
MNG-1021,5ebaf148dad4bd23921992b26dc80663b150ec03,default,1
MNG-1032,0b4d79d101ec4778637da23e39c8e876542a93b9,default,1
MNG-1033,0b4d79d101ec4778637da23e39c8e876542a93b9,default,1
MNG-1041,4ff4c02fd52a966720b931512354efb137e7676b,default,1
MNG-1041,cc96c2bc384c0397c2335f23b0af6ff04bd72a1d,default,1
MNG-1045,a922450b0b824a7ec4a83332269c2046c2d7f275,default,1
MNG-1048,71625bbd82a43e7769223a51db08eb4fee804135,default,1
MNG-1049,79cad8273688daca15d78e266491602a1b3b234b,default,1
MNG-1052,805a5952eb6390bd81640d7ec352890596aa70c5,default,1
MNG-1055,01e24b5473bbb733f7f64de1b5a0e64ea71b2768,default,1
MNG-1056,c66610a6e4ff95a54149ce508b31971f7549be5b,default,1
MNG-1057,76f82eefc960d0638f608bdc6b2b8a458e6b833c,default,1
MNG-1073,575f0e8c1b9840e4699eefdcee76d128f29f6feb,default,1
MNG-1088,37f2a94bf2253bdb05f2fb7a9b83dadc2621dd81,default,1
MNG-1094,581b2ce87169a850412364273703ea997b9587b8,default,1
MNG-1094,24a5bf45258396c78d3f639ee6d56727fe24032e,default,1
MNG-1107,e4a3f7dd232164bb0b1e06347f6471bc7dd720d0,default,1
MNG-1108,70ab341c649274950da47532b245ff1b24aeacda,default,1
MNG-1109,1d42338bb7495912121556b0fdb06b04f1d38082,default,1
MNG-1110,245d512c4ac4ec254def8a4f983ac322322e25a7,default,1
MNG-1112,5304aecb463155a09959f5f2f84398086f8279e6,default,1
MNG-1122,f685d8605d2680e70b1ff2895947d2d11787e3c9,default,1
MNG-1127,2bbd09083f2a812cfa9148072718df7b38f86fe6,default,1
MNG-1205,1bdeecccadb9951fd48550a7aa3b9ee23ea111bc,default,1
MNG-1207,b874063d6571eb704ddabd7162c43cf78d092b35,default,1
MNG-1232,d848ba2acdd2d1f74669f92d99688bb86c278af0,default,1
MNG-1233,3ea056c92868ee2269fe3e34fb55502d335e1fdc,default,1
MNG-1233,31f17512f5cb5a9974a0f79ffd81883ecfe3bf11,default,1
MNG-1246,221ddfcd8bf4ef0f3299421da35cb4273edf53a1,default,1
MNG-1249,0df347f0e56141c1af74b63da07dc9e35fc1144e,default,1
MNG-1251,1be64231cfa24f6eea75dcc377f49f622f007849,default,1
MNG-1291,d8d5807faefc7e400d205e67afa1a51c153f329a,default,1
MNG-1311,2e89dadbce89d6d5ba6f6cef8bb3e53f486defa6,default,1
MNG-1320,6f562d4c87f5eb6eab06576db99b3d521962be72,default,1
MNG-1335,777d747d1a5f62069b95160553f2aeccb3365784,default,1
MNG-1355,8e85652193900b33d88e97faaf0e0d02763144dc,default,1
MNG-1363,9ceeebc8682f6620865baccd0d1f75396075b8cf,default,1
MNG-1372,cbc583333c9b52acf2458340717a92b17efb12f5,default,1
MNG-1394,ad2dd604529eb123caad53b1289b2ed0f5672a7b,default,1
MNG-1415,d201131b59f606519c38ec8c1138d7bcb15f48af,default,1
MNG-1417,ffb7f270ab96dc6fc675e982a96af45d04fe5315,default,1
MNG-1424,9a0b2544f20072c8aee2feb8db1b8385daf61914,default,1
MNG-1432,363f82e42d19af3dfabef40f28f24b56b77cb04f,default,1
MNG-1443,790f8f8fede12efcfd00b004728ab0c90258d76c,default,1
MNG-1499,9584088c44039cb772bd6e4755a0138a2c68c7a2,default,1
MNG-1509,fa34c36025b5cfd60ea7b661ef578dd018f66e2b,default,1
MNG-1509,4e955c058ae52fd1e4c4b284a3aac2408cb66e3a,default,1
MNG-1586,6abcb69443e836703215fea6b57e80831600855b,default,1
MNG-1630,5b427cf0768e0f85b36f3b9406c21c8fdf68af2d,default,1
MNG-1666,0e5015360b800b93729e086c3ab0f8242e7abde1,default,1
MNG-167,3760f873a118c63c5d0848b996c7325d2d869715,default,1
MNG-1703,b68c84b86d4903928c26dd3c044af9eba7114bf0,default,1
MNG-1804,73ba7305ce6b5957a22397c02e05b99f3c4b49cf,default,1
MNG-1856,faa5cf27cb1d03c6ffab1429f64cb759362c3df8,default,1
MNG-1895,806eaeb0170299b14d620376d831fb4a9a2be9c8,default,1
MNG-1895,24db0eb9c0b2c004920f95713e86334be25e4177,default,1
MNG-1895,6354dad32e8e6e446c8785ee53544624e5cc8f12,default,1
MNG-1898,89e6008e13a5d2113655ac37acbb695a7610ae97,default,1
MNG-1898,73ba7305ce6b5957a22397c02e05b99f3c4b49cf,default,1
MNG-1898,36093a18b0b91cd9b22211765b2805c645749ff9,default,1
MNG-19,676c9b5e74fcf6ae04ac6474ee196ec082488373,default,1
MNG-1900,c9a00782d8ff90b06ed3c7cbea22319e6a28f88e,default,1
MNG-1908,bc048ca9ccdcd373b60774e7a556f4323013800c,default,1
MNG-1908,cc507307b8d5f5ecc3e7dba7a7ccfbd1dde3c7f8,default,1
MNG-1908,83c9eadb09e28f38f3e619d9b902cb66f3e3f94c,default,1
MNG-191,e5ab9191bdf07d25435f6e1a1456ae2c7403254e,default,1
MNG-1927,32d8679253197b09529f44a6b789eee0ca0a6ac7,default,1
MNG-1927,425a841a8bcc4d2342ad333a237d8ed9e415d39e,default,1
MNG-1927,c3c8fdb17a3a849733fe8d8bf6a6df99b4cf5175,default,1
MNG-1927,f52a730b742a20361497074c41128e6fef61ad84,default,1
MNG-1999,ad38e46b4b6bbc3fb214b07966cc42877ecec536,default,1
MNG-2006,f3a9e3834084a5c40230f09ceb9ebe19279e745d,default,1
MNG-2006,6fb187fa987d5af1a121e081abde362841b8f707,default,1
MNG-2006,602899a9f482d0392cb46cad0e4903dab4a5bbd8,default,1
MNG-2037,5395710ce05a496cd10d40ca2707b80348e61048,default,1
MNG-204,e616a7b1c94813ea1d1391e9ed19c93e8cb81453,default,1
MNG-2054,1c23ee16a4d80186a6d4ec77eb6ea3d2d8e09231,default,1
MNG-2054,5bdc77bd160a304ebae21f57e07a1e5a865c76c3,default,1
MNG-2068,d0fd1579a98471b1d9d9f7225c6c3874272c102e,default,1
MNG-207,829e2051f67c6aa868b5b7b5a52887caa3704c4c,default,1
MNG-207,2628261b753a53f56863a5c0150994135148bbbe,default,1
MNG-2083,bd540e30b79f47e6415951d93598bb10affc832e,default,1
MNG-2083,b07d835b9c1bb93eae6abf087515ff9c701d145c,default,1
MNG-2083,1710fdcfa3099c09b1d0f95b041bd5913322b98c,default,1
MNG-2087,33e508a29dd139b0c52eb8399e124b72bc63ee49,default,1
MNG-209,08df9d163d416caa8975d7edf22db0c5e0b0dd10,default,1
MNG-2124,32d8679253197b09529f44a6b789eee0ca0a6ac7,default,1
MNG-2124,fc77014cfeccbb2e74b67616a7b5049ee29d8813,default,1
MNG-2130,1c23ee16a4d80186a6d4ec77eb6ea3d2d8e09231,default,1
MNG-2130,d69fe06e8df14ceb0b2fbf72d3221bdec3831f24,default,1
MNG-2136,bd6aa12253c17ae6d6bf9732d8bea30577306b68,default,1
MNG-2146,a6983a59abbc3f3b86b0959d122b3e52fe7f2f32,default,1
MNG-2186,32d8679253197b09529f44a6b789eee0ca0a6ac7,default,1
MNG-2244,2095f803059bab370b3fc80367b07a866f257792,default,1
MNG-2244,4fc35bac02ac23e974a60f27090f36b49503f948,default,1
MNG-2244,68e38e54af97aa1c8b603894ca2b4acd1eea93ac,default,1
MNG-225,85cc412a5f07ec68abc9b83025e4c5f2dca3ec4f,default,1
MNG-226,24e9ecf4a0e63b6bf56e33ad633c617a740de464,default,1
MNG-226,8b01ca10f7aac10f989f7b808487687e8516bdb4,default,1
MNG-229,6aa208414f277bb20647ecf55e0cf7b73a289211,default,1
MNG-243,fcb7a1c14bb3896ac64878bd722b553799984ba9,default,1
MNG-255,70a510917cf14f436e62dc5ea79e9b9961379397,default,1
MNG-258,664a916c1737ff64d3048ef3276b3f14561de0a4,default,1
MNG-260,ccfdf7af42916db224edaf295fbdc349eb269806,default,1
MNG-261,b4cfe5671125835f383e39935919abceca9b85b6,default,1
MNG-282,71cb5dc39938e4ca219729c8e0d1198cb6a79c39,default,1
MNG-285,912898c7160f9ab1d1b1679be4f9e47a388c1b87,default,1
MNG-291,ce968a2dd9e125fe0ddc4c6de7f364703e574544,default,1
MNG-294,ce3665851c653760544a3e825972d360c15466c7,default,1
MNG-297,f86ee59771fa79abb2b2e660da8f7f1523515408,default,1
