issue_id1,issue_id2,method,score
MNG-3099,MNG-4109,default,1
MNG-3099,MNG-4246,default,1
MNG-2277,MNG-3023,default,1
MNG-2277,MNG-3260,default,1
MNG-2256,MNG-1961,default,1
MNG-2254,MNG-2255,default,1
MNG-2411,MNG-2620,default,1
MNG-3410,MNG-3396,default,1
MNG-5214,MNG-5503,default,1
MNG-2837,MNG-2836,default,1
MNG-1898,MNG-1804,default,1
MNG-1895,MNG-2686,default,1
MNG-1895,MNG-4789,default,1
MNG-2454,MNG-2406,default,1
MNG-6115,MNG-6186,default,1
MNG-449,MNG-4069,default,1
MNG-449,MNG-4206,default,1
MNG-4498,MNG-4309,default,1
MNG-4296,MNG-4541,default,1
MNG-6198,MNG-5889,default,1
MNG-6195,MNG-5829,default,1
MNG-3891,MNG-5714,default,1
MNG-3891,MNG-5717,default,1
MNG-3887,MNG-3925,default,1
MNG-3886,MNG-3887,default,1
MNG-3885,MNG-4009,default,1
MNG-1355,MNG-1644,default,1
MNG-1323,MNG-3284,default,1
MNG-1320,MNG-3415,default,1
MNG-1317,MNG-1318,default,1
MNG-4353,MNG-4413,default,1
MNG-4343,MNG-4592,default,1
MNG-4341,MNG-2258,default,1
MNG-4341,MNG-4344,default,1
MNG-4341,MNG-4345,default,1
MNG-5590,MNG-5608,default,1
MNG-5579,MNG-5574,default,1
MNG-5579,MNG-5607,default,1
MNG-5579,MNG-6003,default,1
MNG-3461,MNG-3974,default,1
MNG-3452,MNG-3391,default,1
MNG-3106,MNG-4565,default,1
MNG-2290,MNG-3134,default,1
MNG-2285,MNG-3607,default,1
MNG-2282,MNG-3470,default,1
MNG-5714,MNG-5717,default,1
MNG-5714,MNG-5718,default,1
MNG-328,MNG-309,default,1
MNG-820,MNG-4768,default,1
MNG-803,MNG-804,default,1
MNG-4098,MNG-4432,default,1
MNG-4087,MNG-4217,default,1
MNG-5503,MNG-5591,default,1
MNG-3509,MNG-3368,default,1
MNG-3509,MNG-4037,default,1
MNG-3507,MNG-6043,default,1
MNG-3507,MNG-6041,default,1
MNG-3507,MNG-6046,default,1
MNG-3507,MNG-6115,default,1
MNG-3507,MNG-5961,default,1
MNG-3507,MNG-6093,default,1
MNG-3506,MNG-4270,default,1
MNG-3503,MNG-3668,default,1
MNG-4277,MNG-3428,default,1
MNG-4276,MNG-4274,default,1
MNG-729,MNG-4654,default,1
MNG-3436,MNG-4343,default,1
MNG-3426,MNG-3473,default,1
MNG-3426,MNG-3780,default,1
MNG-1891,MNG-1499,default,1
MNG-1882,MNG-1586,default,1
MNG-4190,MNG-4214,default,1
MNG-6093,MNG-5904,default,1
MNG-5014,MNG-4962,default,1
MNG-5011,MNG-4551,default,1
MNG-3043,MNG-4269,default,1
MNG-6140,MNG-6093,default,1
MNG-4205,MNG-4466,default,1
MNG-4205,MNG-4069,default,1
