('56', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 1.0)
('353', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.99967134453611295)
('481', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.98761285252779329)
('215', '763abf3bf1bbc31e74d0a52f4d4abbdece1647da', 0.98232315544844007)
('294', '0019113cf23e7ca7a35807cf0082933850ea8a05', 0.97840181348630073)
('304', '4de1901921d73bf728fd462b1f57aa20d7b08b7b', 0.96500988605899107)
('215', '8dc282638fa6ed56528c5ddf3d308ccc038d335b', 0.95521734694292182)
('254', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.94782686472374544)
('8', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.93480684844921691)
('481', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.88665293836442571)
('217', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.86115943295945929)
('160', 'eeafc91db30dcdee1ce2abd12ce7263e08faf86f', 0.85152487551011058)
('62', 'adb1887ea16f7a8b31e246c9c29315a3332badb5', 0.85146295635319225)
('285', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.83729550021182886)
('481', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.76684942502017528)
('459', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.76417568514570022)
('62', '4a0f13c969ec6bd05a2910eabcab845bdf60c669', 0.70433981318049366)
('353', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.69356085943025136)
('304', 'f87d0bf93a73a908346ae5919ec84e88edba7360', 0.66952176657842288)
('258', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.62744888168552626)
('451', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.61955506461761622)
('141', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.57929208444457969)
('12', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.57026195059121176)
('53', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.55874980468905033)
('110', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.55829605667520155)
('459', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.55707477445171838)
('429', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.52944538039575639)
('401', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.52918957995757987)
('293', '8c5765d8dcec65a9dad3b4fc26a3653f221b5fe3', 0.46832925486627502)
('160', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.45941948409168426)
('451', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.45175415558283999)
('17', '9992cf26095d6f4c4655a63317a3d8427e97b21f', 0.43541152381564141)
('141', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.42261408235359882)
('12', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.42249881286914126)
('293', '81a4148ef0b4062f09ef14e276172ec0034356ac', 0.4205487490770638)
('293', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.36347974807272515)
('12', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.35011407287424257)
('429', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.34326260468001063)
('401', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.34264619315541794)
('401', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.31573871119913072)
('429', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.3155485533987144)
('61', 'c823f88646ef489b59be09d3f0e355b883fc73f2', 0.30922631561870823)
('40', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.30115448192056626)
('329', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.29329763466533798)
('12', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.28903810667450663)
('71', '512551e2c515020fb71e9b29f1647c3a1c9d757c', 0.2729921715164032)
('304', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.26101848231250568)
('114', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.25262758463535206)
('40', '14002a5d4d6c027905949de14c7a0ec92029a64f', 0.24464539013830894)
('116', 'd7e0f5896574e21f17dd4d3a6902b0ae17f3356a', 0.24428667645196142)
('117', 'f729e3955f075b24193d5f9d53d45cff91b8ab46', 0.2384111828215483)
('27', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.20105139001983277)
('353', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.19978784750763148)
('71', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.19903849773804402)
('293', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.19597382124099585)
('304', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.19283735850037509)
('27', '4f61bb0b62419f485adb942c398df18e2c276448', 0.1825375206564325)
('116', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.16705165571579811)
('117', '81e3f880e5b4307fea01fc5c0e9b245d32c45c30', 0.16580585152314445)
('304', 'e5f112b366cbbbd2367139fac34d9f4109211079', 0.16024356426263187)
('481', '2acaccc7c84710ae9c1876da793899f84e8b46ab', 0.15237407934954847)
('27', 'f94147145c55bf04fa14d2a93db923b264dde39c', 0.13779887375939498)
('481', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.12455192748275871)
('293', '077aa61d9cdfb253d590965cac431dca155aad6c', 0.11465095575730047)
('293', '80c9f8791bd9c3fca87cc9462715914a93537a01', 0.11463773896626939)
('117', 'a174251437b1bd19959d24f37ae49d89815c41ae', 0.10981520292761818)
('293', '6a9a7595c36b07ff7f090f9ddb3504530e2d19cd', 0.10817337500680442)
('27', '9385d1d8426173afeaa1bca406b76acf508bea67', 0.10560767904754402)
('399', '1433eb6d55df0d32c8c5b665372ca0a17d0df0b4', 0.10066054202351786)
('429', 'a889be240af925d8131289539cfce9c63478c7f3', 0.0965748595146564)
('401', 'a889be240af925d8131289539cfce9c63478c7f3', 0.096544749302476335)
('329', 'aa0a5056369a41bc2e591b8bd816713267e3fe01', 0.09516709019467022)
('54', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.094145578959192205)
('308', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.094144887834838389)
('198', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.094132878964807432)
('116', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.091174097847184721)
('399', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.091152504215398791)
('71', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.090557427862416273)
('27', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.090072501407529787)
('293', 'a17e807ff5593b7b39de2199545a71d06956dfda', 0.089921108207351788)
('61', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.08951992708811822)
('293', '3107098abffe1de5bf616ed12fea91f19bdfe610', 0.089279373498659637)
('117', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.089021966247251644)
('329', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.087970708626735186)
('40', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.086266448161125872)
('17', 'd8a5ede9435ed481e01785e9766eb70a1554e741', 0.084742271739623468)
('293', 'a889be240af925d8131289539cfce9c63478c7f3', 0.081797892731966748)
