('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.5185556442163114)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.3031695312954162)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.18015824844372497)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.1557784847124027)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.13931955314383837)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.13111578969432783)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.12677728594016513)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.10230830234080858)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.09309951134522236)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.08202444567526108)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.06482852829917031)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.06454743974233781)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.059914151543216394)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.05801760253038829)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.05522102443750529)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.05400617248673221)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.05121825125320355)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.05058994748020623)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.0484057810711588)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.03922322702763668)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.03347267016666491)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.031057315040634866)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.029976882703628232)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.022769127776959663)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.014525503349691238)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.010790450335154139)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.010557378538846111)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 8.85524958645618e-17)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 2.0816681711721667e-17)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', -2.078799761914809e-17)
('12', '244509aac22ddabb6387f39e096addae57566364', -3.895000497665011e-17)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', -1.2823745951400748e-16)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', -1.9759279873182224e-16)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', -4.011131899458782e-16)
