('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.6652680580665471)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.42856249538204017)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.3850256897710603)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.3047887380849038)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.23638155819114717)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.2133368444439377)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.20652270012099352)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.18433436933524247)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.17256151168584463)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.16579356344332782)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.16002422268003177)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.13465360063786389)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.12182667443407054)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.11973686801784984)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.11417358064720269)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.11019845940569571)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.10159675745645884)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.10119723179789356)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.09377546763927865)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.09259082857135774)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.08640210525128682)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.08325307391633671)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.08023364646339881)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.07426804975601667)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.07372108230698518)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.07198617998003864)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.06534102628035474)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.040960894742838566)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.02063940625410117)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.019875121793003075)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.003402305366609609)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0020912174904567206)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 3.233930326543331e-16)
('12', '244509aac22ddabb6387f39e096addae57566364', 6.911235986907482e-17)
