('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.28047060277300045)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.1312060758677321)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.12815598743027248)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.07092188921834255)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.057083796543280316)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.04359953543104867)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.038051732627668575)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.03184982076875342)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.030031540735834594)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.02671232706112948)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.026054131526422282)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.024381455279233553)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.022137279997852987)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.02178338332287995)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.021653467211724866)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.019959130041541855)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.017277905457143722)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.014240967405483102)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.011095181812150617)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.008927093246519434)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.008539796190466832)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.0076397508265151825)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.006664353090983528)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.006545082566531937)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.0052606215123842896)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.004744317349668237)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.0008882912623609511)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
