('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.36295168763642144)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.19429389833235225)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.1686853221399183)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.13591270033469305)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.11448905914694178)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.08274076121875092)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.08014442327441593)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.07556958720177025)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.0707507254969302)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.0666255922068037)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0657176934120133)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.05503159456660123)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.05022797009947801)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.044775284077672235)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.044278103377126114)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.042321062951509815)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.040555880353679005)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.039788939470433646)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.03968352322951688)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.038760723040101044)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.035097060478654296)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.03485556860554962)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.034768278316709096)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.03300864713696156)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.029608661415995052)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.012706737753143293)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.011097858204942416)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.010264128286808094)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.008494879739127542)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0023910339862026697)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.002073662233049481)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0017400261592538174)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
