('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.33304823290567304)
('103', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.31020596314167237)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.3002625564193334)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.26033129107901387)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.22454456726409516)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.19587729827298142)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.18357450370366013)
('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.14437150795173867)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.13759016047987588)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.12018254898877419)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.1035631205674462)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.09241581179533506)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.08358472271567663)
('559', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.07856421802887045)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.07345188948569353)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.07234744079046773)
('26', '019f986cc374ef228070f4aeba252f5071362488', 0.06131271785257448)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.05960112910102816)
('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.05945903092645993)
('9', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.05311234963987801)
('559', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.04939555421439305)
('559', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.04807993390867536)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.046775414364118244)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.04195468297627167)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.04000528300379507)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.03822826890785745)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.036982489089507145)
('26', '4fc95536aa3c2ce894701e62c8827d256d2c24e3', 0.035638259015203906)
('405', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.031976540955997994)
('598', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.03123423875379728)
('9', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.02848101367083695)
('9', '019f986cc374ef228070f4aeba252f5071362488', 0.028432977600436893)
('9', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.027126939515053614)
('301', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.025680674797116776)
('7', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.024697227659546954)
('26', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.024322169100348918)
('26', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.024183850222096036)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.024059765265805336)
('3', '1fb9d88b51522797e845afea8c69066767ae1436', 0.023893588618959898)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.02379901850808701)
('598', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.02206226924164788)
('26', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.021109354352870372)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.020273307258710713)
('598', '019f986cc374ef228070f4aeba252f5071362488', 0.019729114378351963)
('1', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.019017670792219065)
('24', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.018423889460165807)
('24', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.018423889460165807)
('1', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.015888867112269865)
('598', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.015784267570952172)
('9', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.015748508561415263)
('598', '967686b2f2d3e2ed770929c3909a33991220d56a', 0.01561710466794278)
('9', '1fb9d88b51522797e845afea8c69066767ae1436', 0.015581020808783047)
('1', 'b189e97e24cb068a2ec22b09285dcf1e14350398', 0.014933458366719785)
('559', '1fb9d88b51522797e845afea8c69066767ae1436', 0.014790666857537618)
('559', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.013562691467019902)
('118', 'ac0994f5292997f298595ca7291af3bd88ae1fc5', 0.013488835114379281)
('118', '9b59aa4de2f48923f9ed541418efe98a70b3d7e7', 0.013254737816198167)
