('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.36488457942549535)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.3123561615870832)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.280357028638813)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.26166235470577925)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.2603864633703933)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.23147432836875018)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.22537372295576563)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.22458064390323007)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.216866682877452)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.19913222382746595)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.19590441518534996)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.1931830713289707)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.1883881668266074)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.18340321567271523)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.1785503074263167)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.17817416127494953)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.17598138902489135)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.16692446522239665)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.16666666666666657)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.15492877796426682)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.1483676622092353)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.1453646936153095)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.14453697457733575)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.14002500669842213)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.13547472610190547)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.12451027793262155)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.1224120479369671)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.10799193254864413)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.10268166134980936)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.09596105247487256)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.09181462976097773)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.09055636687094744)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.07850385339980136)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.07499999999999984)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.0667254835694974)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.06421886570953879)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.058984724027927614)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.05326906924309986)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.05315947873859449)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0514091065761249)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.042591770999996205)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.04216370213557833)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.039400810277337696)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.031083493608010805)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.028867513459481534)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.024997740492309947)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.020408198388784132)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.01983213724362417)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.018077538151554776)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.01756820922315773)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.014520228062300942)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0124254526939301)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.01043707151808581)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.009577713687124751)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.00956292184248786)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.009325048082403043)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0021196087881146116)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0019985815105125026)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0006536623497222855)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 4.065746850727089e-16)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', -1.333886003907219e-16)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', -2.7899205450105134e-16)
