('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.3648845794254957)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.28524605808518483)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.28021247744145483)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.239806055896102)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.22383531778687785)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.22241537499421293)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.21686668287745134)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.2154866450518179)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.18824430413527324)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.17817416127494962)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.166924465222397)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.16666666666666666)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.16445675265298157)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.15863700729290744)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.1536230967599605)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.1449687883808467)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.1368672895513065)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.13539831845247796)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.13325650628383562)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.12702146976599127)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.12444608082707467)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.12231856793254497)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.12022859176683337)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.11915797666192261)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.11707322644771151)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.107095910520334)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.10256432421864917)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.09596105247487285)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.09181462976097812)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.09028153958696666)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.07647657009254867)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.07499999999999978)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.07277717193495567)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0717842536077557)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.06421886570953907)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.0639602149066832)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.06079554722698319)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.04543600582067376)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.0440083821870431)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.042591770999996344)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.04216370213557843)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.04077050456584015)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.031083493608010014)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.029748205865436365)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.028867513459481315)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.025634131965504126)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.025308553412177016)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.018110860830805417)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.018077538151554925)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.01756820922315773)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.014344382763731331)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.010437071518085678)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.00957277544823683)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.00956292184248771)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.009325048082403004)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.009062865088588775)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.008772267329797266)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 4.1937314186641426e-16)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 2.74866870069756e-16)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 1.2848627530047093e-16)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', -9.246928991952389e-17)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', -1.3645494377881544e-16)
