('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.22375504092264553)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.21106937255029926)
('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.20683586363894774)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.19407690843637843)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.171212270945484)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.1700380191217264)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.1571045988348904)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.14568410274900767)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.13433830435957236)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.11292360112633748)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.10736703945696296)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.10233185193168753)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.10183149501182068)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.09990990625618063)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.09795910537087621)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.09354157980910674)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.09349958088925181)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0923231456420365)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.07815935118751144)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.07642893999998418)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.06854813230531599)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.06818843008325369)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.06567296425722405)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.06437913707395009)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.06010987253309925)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.05706152371079341)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.05280604161496371)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.05004119537284994)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.048776660601541684)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.046156312190128106)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.03282309860358708)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.03164321579544681)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.02923587649478713)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.02817232332098886)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.026369273645525017)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.022972438218316252)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.014703228024194392)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.014602433900561353)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.012981388874107696)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.010880631098184412)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.009447256124599367)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.008414820282467938)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.008381609375857932)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.007920036120919504)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.007505928483376081)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.007327119064569175)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.006846768200368185)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.006642014509540661)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.004466929786804904)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.004155411827073039)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0030809296540216954)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.002743901860050897)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.002471074781916897)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0020849519361905117)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.001989553778984081)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0018941022669771454)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0016146281145016702)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0011051415890187862)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.00046885901778139926)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
