('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.21985294719239962)
('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.2071563021140233)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.2032282375051504)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.15884242319058287)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.15880927349862697)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.15628139288515808)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.13631490268020374)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.12563521086331178)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.12468312996620387)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.11575727034210101)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.10735794452065744)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.10374693711926022)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.09792395161378516)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.09403251690017024)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.08291389307598537)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.07549260431938248)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.07327534450511623)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.07128039761552701)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.06830698055455718)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.06412107335996829)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.06018066881976107)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.05460190207946674)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.051411130157274665)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.05111007359259496)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.05067833755963173)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.04902719960452948)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.04544146342511729)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.040015003292378316)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.03785225485831771)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.032458454600663)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.03229613043920967)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.028222490929160217)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.026887831458016383)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.023862202144929682)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.020402776502289135)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.018784547374395277)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.017881028445096103)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.01178298251573782)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.011215471869204479)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.009024017046545825)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.008326136924480771)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.008069575011079385)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0076450617654652995)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.007067823349536786)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.006574615658497262)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.006227991912447264)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.00610012223770896)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.004764265927261673)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.004248222511847748)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0038711923472077516)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.002857896467568121)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0027859703536448287)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0025059194704725282)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0019958488691039443)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0018815809297994626)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0014306989934236964)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0010994846156243082)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
