('75', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.5524714811067796)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.44021861909551135)
('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.3250841910870431)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.2792975100368678)
('56', '314257056225969156647c71e1be58307e660206', 0.251008936380489)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.21306739820414006)
('30', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.15436299951367316)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.12992342914956576)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.12304740227632147)
('30', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.10408581943146032)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.09806249870454906)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.09685605867105314)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.09256209303220285)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.09192911904394482)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.08848207457561176)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.08258821700010763)
('73', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.0751093863092081)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.07321763740413523)
('50', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.06691410974249046)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.05813759382608772)
('41', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.05621667354708997)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.054683160433750995)
('30', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.05251800008799683)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.050668873479315736)
('73', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.0481145264025854)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.04497094347022504)
('34', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.04342760199963917)
