('75', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.44045648136585136)
('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.3244222919272081)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.24856223334256194)
('56', '314257056225969156647c71e1be58307e660206', 0.216656284473313)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.20566860540621867)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.15315005552182206)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.15061031006555264)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.14920910570133245)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.13908301772269793)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.13007275037670737)
('30', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.11382341835065467)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.11116741042637521)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.09878737740324167)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.09790692281297222)
('30', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.09376680830598604)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.08205507429952032)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.06841506869215103)
('50', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.06755279593210893)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.06655918830901451)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.05709434308016573)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.056321067992742925)
('30', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.05580291535334352)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.054575867381938044)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.054327077489971225)
('73', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.05243682848661157)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.05203974527561055)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.05151798063920825)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.043558124099710015)
('73', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.0423170550739761)
('41', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.03351481947654959)
