('75', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.45995322016388795)
('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.35078723220993585)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.265110861982754)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.25588840573698873)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.2346941287650617)
('56', '314257056225969156647c71e1be58307e660206', 0.22406657225150062)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.18833192227469986)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.17922705011145784)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.17902060916797896)
('30', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.1789095074110455)
('30', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.16009533990868557)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.15266368697791585)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.13916357531942752)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.1192239750809117)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.11094197850031716)
('30', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.10189507255981753)
('50', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.10119706772631208)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.0926681471673353)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.08239197377908382)
('73', 'eceaa0e70458b55bee7608d1b80dbf50f5cbf54c', 0.06455388342145559)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.06161511767463362)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0615259007796219)
('73', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.05988465906055941)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.05748844855896945)
('73', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.05413431078875615)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.0519126637623368)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.051231275927592725)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0505413272433476)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.050288952455936016)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.049073893127602956)
('73', '77ed35bcae65ef83ed0760b6bc918b7b82e2f237', 0.04883732281013769)
('73', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.047776933620491194)
('41', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.04650857455959597)
('73', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.046215309465971695)
('73', 'f72e20690364c439618211610f34fe94050311a8', 0.04307353604150248)
('30', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.04304143288856146)
('34', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.040083557789252384)
('73', 'fcac93ed76c9c55fce2628e4bc3bc1bb0f32e7e4', 0.03970642898772057)
('73', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.037791291925491646)
('52', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.036892962828343506)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.03665270996899023)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.03585855865465822)
('34', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.03556045423458076)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.034870148034429324)
('73', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.03397388885747476)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.033855760124044336)
('34', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.03247527393486177)
('41', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.032293310042782616)
('73', '6e8695c466bb1be388ce9a6908035f22a2cb21a8', 0.03205254781623772)
('34', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.02994710740903716)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.029161370840423795)
('73', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.028133108259161172)
('73', '1d10a392f8e403e49c4551a58edda7967ef3e6f3', 0.02498164542950805)
('73', 'c07664dbf59eddf509d2a67ddee4517f79887110', 0.024475224225401614)
('73', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0236569887841773)
('41', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.023457008859738875)
('34', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.022091024611847802)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.021945820474499313)
('40', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.021922643020133758)
('30', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.02089794212055298)
('30', '314257056225969156647c71e1be58307e660206', 0.020023592009343935)
('30', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.019030567293918624)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.01883524493398829)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.017273362818284406)
('52', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.01706247415077627)
('73', '026bfff2cb95efeee04a37e97683a9f366a24146', 0.016255930741773426)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.015629276462704147)
('73', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.015289106201497208)
