('47', '1be9032c114bf956ce42f198aedd577f5cace5df', 1.0000000288166206)
('63', '1be9032c114bf956ce42f198aedd577f5cace5df', 1.0000000065009638)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.99999999877813861)
('7', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.99999998600243989)
('37', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.94722360666827976)
('37', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.94722067863835524)
('44', '978fe132667a8d39664c50f674f71c86ade8a169', 0.93810861521778022)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.92811136017265528)
('16', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.88218423972613513)
('73', '65712d130369824da9d0033a82d240b1d0066833', 0.84660029092251121)
('37', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.82243405359862864)
('76', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.49567248038085249)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.28092104585165317)
('35', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.21285962349183069)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.16820487934667286)
('35', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.16388421126146632)
('37', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.09792612928262763)
('35', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.081226994007799549)
('42', '65712d130369824da9d0033a82d240b1d0066833', 0.027811499287225813)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.027808654612123066)
('42', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.021526902730314334)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.021520958021245543)
('39', '65712d130369824da9d0033a82d240b1d0066833', 0.0035696314861695406)
('39', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0027622468747957592)
('100', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('100', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('100', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('100', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('100', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('100', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('100', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('100', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('100', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('100', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('100', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('100', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('100', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('100', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('100', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('100', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('100', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('100', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('100', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('100', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('100', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('100', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('100', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('100', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('100', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('100', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('100', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
('99', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0)
('99', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('99', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0)
('99', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0)
('99', '65712d130369824da9d0033a82d240b1d0066833', 0.0)
('99', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0)
('99', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.0)
('99', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.0)
('99', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0)
('99', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0)
('99', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('99', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('99', 'af98b91a1ab60460b67028e348263024c496dafb', 0.0)
('99', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('99', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('99', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('99', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0)
('99', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.0)
('99', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0)
('99', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
('99', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0)
('99', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0)
('99', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('99', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('99', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('99', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0)
('99', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.0)
