,ARouter,arthas,canal,druid,nacos,rax,san,konlpy,awesome-berlin,Cica,Emmagee,open-korean-text,horaires-ratp-api,bk-cmdb,ncnn,QMUI_Android,QMUI_iOS,weui,xLua,pegasus
link_num,57,120,249,937,45,305,37,31,52,27,28,56,9,1170,89,71,29,139,50,151
source_num,56,87,209,874,42,305,17,30,52,25,27,44,7,886,87,70,26,134,50,151
target_num,57,120,249,937,45,305,37,31,52,27,28,56,9,1170,89,71,29,139,50,151
source_en_token_num,464,8856,20224,39805,2046,5561,1026,2236,1128,1221,712,2106,998,5264,3497,4162,888,1148,341,1605
source_zh_token_num,170,1766,7734,10620,212,2039,1910,1901,77,438,1111,1089,95,11401,996,2445,968,1972,803,881
source_zh_ratio,0.2681,0.1663,0.2766,0.2106,0.0939,0.2683,0.6505,0.4595,0.0639,0.264,0.6094,0.3408,0.0869,0.6841,0.2217,0.3701,0.5216,0.6321,0.7019,0.3544
target_en_token_num,18786,28472,451101,458762,6174104,186048,2215,5022,24119,5610,11520,41779,1818,781986,11135,14284,6199,234103,11590,44090
target_zh_token_num,5260,2898,13608,25091,62210,15895,258,1063,4056,402,1844,122331,213,53610,5017,934,734,13022,4370,24610
target_zh_ratio,0.2187,0.0924,0.0293,0.0519,0.01,0.0787,0.1043,0.1747,0.144,0.0669,0.138,0.7454,0.1049,0.0642,0.3106,0.0614,0.1059,0.0527,0.2738,0.3582
total_tokens,24680,41992,492667,534278,6238572,209543,5409,10222,29380,7671,15187,167305,3124,852261,20645,21825,8789,250245,17104,71186
total_zh_ratio,0.22,0.1111,0.0433,0.0668,0.01,0.0856,0.4008,0.29,0.1407,0.1095,0.1946,0.7377,0.0986,0.0763,0.2913,0.1548,0.1937,0.0599,0.3024,0.3581
