('103', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.5769169094921309)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.43963411191380325)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.30830969955468435)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.3039553731956716)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.2740981713697221)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.2520084082728313)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.22576650650940505)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.15103210623045302)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.1407132353622988)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.1345274044906724)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.10736722170153828)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.09796190898956818)
('26', 'bd13b29c6f160e14d67b9668d31f5c81fdf068c8', 0.09464257690739206)
('559', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.0895762922842163)
('559', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.08800934419113456)
('9', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.08717078307069337)
('26', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.0779381890841535)
('26', '019f986cc374ef228070f4aeba252f5071362488', 0.07602076132662593)
('301', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.07192898243847468)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.06045046235859379)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.06017314611450952)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.05905506176126973)
('9', '613bbe216f681a6b70257ac3b3119574306b68ed', 0.05885976805197404)
('405', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.05810395684246774)
('301', 'c490e9dbd5f364caa81012c7fde0d4c48bccaaf5', 0.05792040439911159)
('9', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.05700942538401158)
('9', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.0553873005000025)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.05444892591106484)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.054024402728697934)
('598', 'dc08fc93a9a7fcc3d7657c81ed9204adaac95a98', 0.05048470214418025)
('9', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.04973722621496348)
