('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9617934468644915)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.92825106054338)
('786', 'f2569d1797644751699068d1fe98ba85e9215ebf', 0.9229399706425567)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.9183660764995191)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.9147936856430579)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.9065165758452273)
('1695', '0f3a3d87c79fef2d702923d858c42e08d51b62c5', 0.9038816684277062)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.9035897784702827)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8989612653494741)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.8920327234442634)
('2264', '91242006f5601b9bb260371f3c69c1246625b008', 0.8841830117952096)
('1396', '2e478b186908544a83d9f1faacad0622db20348d', 0.8813642723325423)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.8672671135246989)
('471', '009168b309ad364c90eb929413e414ef2dfeb01d', 0.853821563979116)
('1396', 'dcda68116dc6fe806155619ff97c95003240b5ae', 0.8514217289036553)
('1326', '11ff35f4aea5e95b670694411574d2438c5e8d54', 0.8434231025834614)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.842142402535031)
('2313', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.8321961802953974)
('1537', '4367c84d310a76323e9f20b54cb98b42f493beb7', 0.8281756380996393)
('1777', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.816356129261113)
('1715', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.8163031429220737)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.808047717420176)
('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.807790087537982)
('1695', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.7875402405382975)
('2295', '00eefb99b428759d73095b252fc60c191ace432a', 0.7850678754068421)
('419', '37aedda1e7d4c367d17cd4c505798413aa7a548c', 0.7839598096507511)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.7793531590952487)
('1396', '191965d1c0f99cca7e4a93b8598fee9fb7864012', 0.7753661872420965)
('1695', '0f10b84a83d0f35249c1b3efc5492785f634f52e', 0.7691028088965026)
('1758', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.7609443041499763)
('1396', '91edb244f2cb4bf1aa2c792d629753f060ac5a9e', 0.7578863818725725)
('2658', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.7552018974235367)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.7524519723758671)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.7447318397892432)
('783', '5147c46ade6bf649b43a79f54bd2b5751b4c52e3', 0.742697029747341)
('1179', 'aff85c3030332744a51fa65d5612830b9a8684ae', 0.7425837152336856)
('1396', 'b6926501e76a5fce878d8ae3a15653139a1c9990', 0.7366006902639664)
('1396', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.7351190955834874)
('1727', '6c8169b1fb0cfc0d1701ebdf2f8d5ec68076b996', 0.7279119775482218)
('1342', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.717359373278224)
('1396', 'a6d0d6eae7406f66b826e99e837ab0a3dfba682d', 0.714650860461465)
('1259', 'f8987afaec6e09d6e0e1474c58fdf7c11378096f', 0.7146234320771176)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7127959380971008)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.708398509485536)
('1542', '814cb1f024130c048331cec876cfc8d7ddaab99e', 0.6974637112449639)
('1695', '866a573e0b2b92a46edba9e5fbec9eb8940976ba', 0.6895226993438881)
