('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.3525064120265069)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.2904405818144537)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.23891792606609677)
('39', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.20151651941384158)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.1698187610517642)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.15193633416492486)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.13557045933370773)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.12419817999282688)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.12172820370609606)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.11789698635815106)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.09554504419140442)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.09138859744466508)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.08819733413746123)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.08407809718989016)
('50', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.08108530261068705)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.08001798371999727)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.07596020054264811)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0738475708804)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0730584201198276)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.0716074029119909)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0715885882817212)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.07101952037934403)
('41', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.06560551176134484)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.06251935328368838)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.061123421118747516)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.060513143053313935)
