('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.6941531990092914)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.3113536832552435)
('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.2631450269622672)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.23013437553718444)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.20822195796465995)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.19881146251676635)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.19097612042008152)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.171736026996102)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.1372594070122152)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.1327998869549308)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.12229653210883054)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.11158256281118428)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.11101590700995924)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.09695951726030784)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.09514621474070846)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.09133576236065151)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.08447298376086712)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.07890335765904763)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.07791549321633469)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.07197922056684641)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.06910075589865546)
('73', 'eceaa0e70458b55bee7608d1b80dbf50f5cbf54c', 0.06395202523445545)
('30', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.06274640082566033)
('73', 'f72e20690364c439618211610f34fe94050311a8', 0.06261426622253424)
('73', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.05305967557496195)
('73', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.051837659338558904)
('41', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.05049273581143316)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.04953152315027255)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.04587385174895999)
