('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.455850521735586)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.1922034938681771)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.18705877431743018)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.08603001034665965)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.08080614901869172)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.06420156544314573)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.0630783753246153)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.059778560557458935)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.05261700653484201)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.051310841999736984)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.040180207732739226)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.04008176463484822)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.03896270166708865)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.037966317015922034)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.037517598431554715)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.03509894136461105)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.025599479634036696)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.01678614262423881)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.011204078825984247)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.011099243990582836)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.009531596429127043)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.007833179350663017)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.006407395003295113)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.0034073294775291405)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.002282602682154006)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.0007601644425932669)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.0)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
