('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.7958658111435857)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.6167481891506338)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.5832383808182212)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.4406298417364619)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.3880316083114213)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.3420971484967636)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.28898909281449153)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.2668503297358625)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.24467121932876376)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.2328695767065795)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.20831196523163353)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.20208114951732195)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.20108328780717352)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.19816767047306377)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.19570181080157886)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.19491779798761993)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.17954530976654678)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.16777538133816627)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.16494123458176105)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.14765459010798548)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.13118658108585707)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.11661377910624722)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.07329812409070782)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.06311297375362616)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.0580255746314472)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.05424719250752328)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.04319898355049296)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.004092079113522334)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.002959866749161991)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', -0.0009555460776965223)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', -0.0041393563543689485)
('12', '244509aac22ddabb6387f39e096addae57566364', -0.015340757284256651)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', -0.03426237885606536)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', -0.05225639997617728)
