('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.3149465370889299)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.1645022776960433)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.15999704500628487)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.08672440648546151)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.06448895664381334)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.051896839976859316)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.036150274107985804)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.03568474755653384)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.03300782521566876)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.030315557847196143)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.029682983722824782)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.029594988592089984)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.026864970718769112)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.024243737980242347)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.022218206846933822)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.019706214558101856)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.015674907376793723)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.014896414984645957)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.009923867093793545)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.009555013279717205)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.008764190449145046)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.007857109545189134)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.006157169464704464)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.004344707184971946)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.002264191048579559)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.0)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.0)
