('144', '832432b8ca56c1d7d8e7243a55b6911ff37ed3fd', 0.9323205895490726)
('261', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.7142423240757194)
('230', 'e0f5887cae095bc69924fc50eb22276d7ca5babe', 0.5401185849521319)
('222', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.4745113283741034)
('268', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.2582271700482064)
('268', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.11723914905776704)
('268', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.03292746306386861)
('264', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.00933136975836275)
('321', 'd9720fc992d3b681de54df1bfaad4e5eb5ac5688', 0.0)
('270', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.0)
('270', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.0)
('270', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.0)
('270', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0)
('270', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.0)
('270', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.0)
('268', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.0)
('268', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0)
('268', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.0)
('264', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.0)
('264', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.0)
('264', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.0)
('264', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0)
('264', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.0)
('263', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.0)
('263', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.0)
('263', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.0)
('263', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0)
('263', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.0)
('263', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.0)
('261', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.0)
('261', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.0)
('261', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.0)
('261', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0)
('261', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.0)
('230', 'ca92e3b97442687cfc81303dec86bd4d3971b7db', 0.0)
('230', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.0)
('228', 'ca92e3b97442687cfc81303dec86bd4d3971b7db', 0.0)
('228', 'e0f5887cae095bc69924fc50eb22276d7ca5babe', 0.0)
('228', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.0)
('197', '49afd65768484636191fd647df37acde8aaf8361', 0.0)
('191', '05bb938a19cf445836a054affc72ad8ec48f406d', 0.0)
('58', '25c5d6ed46d128bf3ca44471c0f42c95e9e36bdb', 0.0)
