('103', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.36451629152119414)
('26', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.28662624835121)
('149', '4d8aeb55c9a6680f4dc0316fe810f9b29c5383d5', 0.2627118430151909)
('126', 'dfee7fb4725bbd9964fe08a38c0379a8b5f47a8b', 0.2521699439442375)
('26', '1fb9d88b51522797e845afea8c69066767ae1436', 0.23260395890426516)
('514', '6940c61c6bf5bbee42c7120917689028d20d493c', 0.22964661198052316)
('333', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.22527711664075942)
('579', '7daa15757ff7119e82506e6e980856859035a8ad', 0.21631601884048965)
('330', '3a6eaf7a5819c0dab8fd993ac4f5e1ae1fc76edd', 0.21116896131301582)
('598', 'e0cf9190d7c05e1d5e0cb2d9375dea0995984101', 0.14552123303756598)
('614', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.13979790994954394)
('78', '3fc5e4c944527482c1e1ff59185d04b942fae106', 0.12719675898056162)
('9', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.10814045133419678)
('26', 'b9f91bf86b1e36a9002077dbe7245c7d3a41ed07', 0.09102180775305291)
('598', '60873c20b63d6659dac5376a079cb7cb77eeafe6', 0.08915807801261422)
('559', '42285a37e3c420bebc94ff7bf382dd18f7af3b24', 0.08601420822968307)
('481', '5d34d1c03e527547cf47ccff2eb5f359cdb8f49a', 0.08477160791430179)
('26', '019f986cc374ef228070f4aeba252f5071362488', 0.08251649215170892)
('26', '4c566dd3c22c77747e02468bf30ab4787f2575e7', 0.07936332803916128)
('559', 'bdebbc3a3b2915ebd65308567e987ca6d84b73e5', 0.07728695418614392)
('24', 'ab1ac4038e80e8cef688507f97209cae8fc7862d', 0.07534620544016908)
('24', 'f5197133e31c0d91964dc2bbc889674354de758b', 0.07534620544016908)
('598', '15cd4977ecac8b85a9577e62be9ec2deeeecc361', 0.07229108461821236)
('172', '15873145252823f57110c8ef0b8bf8964902a098', 0.07056828646582186)
('26', '775502c61c559a239e5d482b0d5e0f0edc325815', 0.06287658983467681)
('60', 'c3508d9963e6709adbe417f5771eea8d92a79623', 0.05765238299126265)
('559', 'e547d9d8ef02e2318ce9d173169056e36987abcd', 0.053563664472053886)
