('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.9586195349264307)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.9526787120670195)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.8919541103156093)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8754314656104438)
('618', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.8700890511927756)
('1047', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.8629782958294981)
('942', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.8608858229433285)
('695', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.8587908731355536)
('619', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.8579980221824823)
('841', '1fd623311eb87e29bab6a8f6c51d0091c3fe568f', 0.8199122449685152)
('788', 'fe12a8481f7299f70ee976b670617ed74950bb84', 0.8093621677278094)
('483', '91ac0e30aa5ff41937a05077ace692847fae3e46', 0.8082095664002306)
('135', '72ceb58fa3e0e484ca27cdfc7fd5f20cd0277561', 0.7909109601726857)
('208', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.789740765919872)
('119', '3d6174f857c7e76ed1cc02a50e26482b220640ac', 0.7895960502197776)
('528', '826a45c1052e846b1250813be74f0382f6a543e3', 0.7895046336494537)
('619', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.7826675696439703)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.7795011299066336)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.7707962235852689)
('807', '764e1b6dc012ac6ce10b17e18ce9fcf95c400d9c', 0.765250240057739)
('171', '6a03ffaf7b44e79c56dff379a3efb99c91d34709', 0.7647314054023767)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.7585342248320048)
('171', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.7540217942457569)
('751', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.7463015323756788)
('1002', 'd88f204a15a89a14c36f2048406d4c4d1ee29f45', 0.7417322183582292)
('535', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.7380753078822404)
('844', 'a480ef60ea5e0a93a62f83fc5712ddb2f185c6eb', 0.7307665236395074)
('947', '10b0ade627491325199e41aeab4bfc8a764b3fb0', 0.7307157473623097)
('106', '5ade05711350fe190ec2898106e591dd0564f4df', 0.7274131322711274)
('663', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.7264631770214277)
('1075', 'dd8243a56d99f5cee72fe6e7065085c36fb7f767', 0.7256494418837138)
('360', '788c1d9b84e470d28eaf1198ad0a5d7f18da287b', 0.7235764992269085)
('136', '4898829384d048433c9a54f35d328f4a456318be', 0.7153839380287359)
('1057', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.7125455892188931)
('521', 'b1431f8827712d9e3feb6c9b310c53947bd9c6d6', 0.7075809146293298)
('973', 'fa8ffb8e66176e52464cd04156cd565a5e37f2d1', 0.7059577537412862)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.7056685885047639)
('171', '4f1e3bafe734cba3b27183fb4853686719c2e641', 0.6953285373667987)
('130', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.6942138463803011)
('742', '8e856acac595a3d37c5d086fb3776eeccaf764b4', 0.6898710656451631)
('1081', '3bb408194ddcf39de74af2c94a43537469dc9752', 0.6875610970497467)
('727', 'b4c6490c94b9d4c6f1de6d02cf9055403b61c570', 0.6840349027992215)
('553', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.6822205824979461)
('213', '69a7e6d08380bf36b1c4d3e2febb91a9f87e9b55', 0.6780780594607241)
('173', 'f1a1cb26cc382a11d148ae68a0c0f1e26f262085', 0.675555551757682)
('623', 'c8f1d54fa18f724e25f62e2c2feddd3eeb78b76c', 0.6751237568404376)
('1059', '8f1b66ab5a22b772f59cbac616612b44eb30ffb2', 0.6741772194850842)
('801', '7fd958a490d9a5bb1d42d43c84ddbc5e6bf4d6d4', 0.667720761045068)
('709', '5f47809c8ea82af3eae651310dc1286fd1e0720d', 0.6581506699372843)
('973', 'c3327e567ee3a34104e742f69fdb77d9d89440bc', 0.6400307775282907)
('449', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.6367594810501834)
('958', '05718a9f20cd8620dcef2bd05c02c0297bb1105b', 0.6321232945542331)
('893', '283956ee93473192052d30c3420a3ce9685cce28', 0.6310030912679481)
