('2117', 'f6863f013b91917b8c4ff45610b7b07b8f14a700', 0.9999999605842156)
('2330', 'c367131e03e90656ccc7d661defb7a3b31e509ee', 0.999385605164326)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.9993720701393307)
('1598', 'c6abf24e650f535904c5900b4f0f5c30e86d9c2c', 0.9959232882746393)
('1598', '6e59f87c9b7b999f7bffe1c850046eec59d5f39e', 0.994722239914623)
('1598', '65d4f1ff52ffa003736bb05328b51c1b1385a71e', 0.9947218245346319)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.9914354515988364)
('1598', 'eb35a358c0b9cd3f45718335f0602335dae0d7df', 0.984484367620594)
('129', '88908b5f25a20efb2d548d6501c3f486b1e3f74a', 0.9804316654084578)
('149', 'fd094442ed6e640c632440726b218d914f26a9dc', 0.9699663515069752)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9667972199931214)
('2093', 'aed92f8c47f239a713056eea8d1002cb24d01389', 0.9626531900203781)
('1845', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.9521307393129316)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.9494226446744664)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.948445315468741)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.9480898541592873)
('105', '80a2da2973e97db09f967a6b49b2f2b580cdba1a', 0.9360157732548721)
('2093', '95363d0085aa674c800a93aa828db81107ec69a0', 0.9352706343090331)
('2330', 'b11d483be89dd5a7688f08cd8af12f72908899ee', 0.9350202473320345)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.9342110232128468)
('949', 'b3572b7601e16efa34d10bcfcadfe3b887c3dc05', 0.931646857040514)
('98', '22dda86b3dd24305fd3d2c5d9555cfe4f620694a', 0.9264892939260663)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.9204839831367997)
('1598', 'f1dd6c7eb94024990f822302e61d07fbc4080953', 0.9170369204997092)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.9129546135876874)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.9087576969027021)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.9079095452188642)
('2485', 'd0a0aaf073c28dc26a33e73b360267ef17c219c3', 0.9069839733619433)
('471', 'c01c49bfd8ae335e6a3c86ad4c5942a918b4db91', 0.8994561990174841)
('471', 'f2e2146adbd9d424e8ee566528929478e9037a7f', 0.899454028953437)
('2260', '51ba2f29c29019256579bf052f843bf409190f89', 0.8951519876451793)
('2116', '781c7d5ceb0a20d72c10b7705127ec3f5794b069', 0.8889585678078191)
('1799', 'd982beed4b4da5125785fb4d2095a05c162cec91', 0.8881972205701919)
('1799', '573c8f4d6d8b9ef9cadf6177b2e4f1c39e31658b', 0.88552944760125)
('989', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.8799166192005724)
('2093', '7393c725c2451d111bb3bec35f8e92ed73d1a8aa', 0.879071880212431)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.8773507029957927)
('1853', 'f221fe1b3c64c85e12bf3b059423517e2aa6d88b', 0.8768012530287194)
('1845', '92a34b3a5ef78b8d9769e3e59bb319a3bf6d162a', 0.8753044243864819)
('2169', '51ba2f29c29019256579bf052f843bf409190f89', 0.8748025989762629)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.8724459903669974)
