('1789', '7bf323cd5788ac316b02662caee7b590307fd604', 0.9690747881314193)
('2167', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.967086240130359)
('1727', '6c8169b1fb0cfc0d1701ebdf2f8d5ec68076b996', 0.9530183274651084)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.9501342059265023)
('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.9472304636112616)
('2167', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.9370573919922494)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.9258699171857504)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.9040161665021769)
('2295', '00eefb99b428759d73095b252fc60c191ace432a', 0.8673308538389748)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.8628358905159087)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.862572086246076)
('1931', '98496a2e5d026243580b3d651d4a71dac95f4650', 0.8579308248195513)
('2041', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.8574457816047945)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.8403905952276851)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.8403905952276851)
('2545', '85da7cb9d5f921de24c642b6ff55ad3f886fefc7', 0.8265699579922706)
('2131', 'c04139e70a360552baae8bbc5e1c741b5aae9010', 0.8051399776895106)
('1985', '3c33e36403f4d00a1e524186ea18d734715d30c4', 0.7998380599180415)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.7699508588126405)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.7670347268215305)
('1257', '7d8763bcb9444aaf5500405c629b0698b5ca3b18', 0.766678384887154)
('984', '06d0d4725ee1a79d7a826758073d06bd8db57498', 0.76215839055042)
('1919', '75526cb351ec9b7a473a912c2bdf522b2bd824b3', 0.7590389278753227)
('1707', 'ae1d3701593cafdec238c35b45612eea8bd51504', 0.7574655729531097)
('2264', '91242006f5601b9bb260371f3c69c1246625b008', 0.7505593948939054)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.7497001085912917)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.73528795085581)
('1905', '4b7093dc6a43d107c6032a5f4ae958802d277eda', 0.733289714498908)
('2118', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.7308216453682544)
('414', '0f14cb965b19312ffbac47fd0a83f2efd4f0c36f', 0.7217940905544555)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.7207196731635543)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.7158978423981959)
('1645', '7322da961ba933bc35e14f2c959f728572988e0f', 0.7070977057795613)
('1645', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.706581537632688)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.7053457496640079)
('1356', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.7050042698366205)
('1725', 'f10921ec8f943ec1fd7f5dda634f7b4c2a6a577e', 0.69831158146665)
('2082', '729e203df97e1b228d75ce300d03ee82281d4569', 0.695075356835)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.6935379379295794)
('2060', '9256b904db2d0ceb6053323f3868cd08ef4cd1f2', 0.6875866586065602)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.6871179751870766)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.6708076751752547)
('2135', '80a1bd929e4a25d6db3a1371f08eaf1e5c1dab12', 0.6702770744624453)
('1598', '427c16d9556cf233164f9afd67d5f437d59e7921', 0.6649166121726288)
('2310', '0604a3c71b790d804eda9956bae0851ed149620a', 0.6601269723440156)
('975', '9a925d49fcc0a726e37df8bbca248aca86a83a9c', 0.6544179329041263)
('1502', '12d0f4f784bfecf608b3cc9bfc68aa06684c9f8f', 0.6541785487284713)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.6448994416079462)
('2876', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.6348010460511263)
('1651', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.6311953231514521)
('1420', '2a64573d5d326313e2cf77dc3e0c18d745cd115f', 0.6306116699410607)
('1598', 'b4479d515cc892c019b468b633fb42d5d9c2b693', 0.6272917244386764)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.6226056043750404)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.6209273878484219)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.6204611062039016)
