('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.627152044794796)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.39761297098032194)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.3761011296345198)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.3561967148666554)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.33741657674868875)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.33082947609070174)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.3207151864669766)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.28275542603169385)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.26301886470325503)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.2606076379202489)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.25080891619998824)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.2448462191576427)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.24050584811827078)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.23377177713743993)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.23376990058661853)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.21649053542783742)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.20907492983526307)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.1920813235771431)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.17217446155446126)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.17120097179604699)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.16351095599261056)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.15486954708018275)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.15447425284444843)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.13710847620557626)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.12772748295536593)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.1273918571894725)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.12647389488793107)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.11271231895501731)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.11112387538173074)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.10701188843581028)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.10503957121850133)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.09868951865532342)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.09810568264574851)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.0876672518686037)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.08193862165455024)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.0787625485478038)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.07724043148705219)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0721222016805756)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.0701166761686704)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.06449659252512749)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.06427820587863863)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.05739436294537309)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.05321696658372737)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.039473168125973124)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.03137931168566211)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.030526966380639217)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.02998470923973949)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.029777949468722656)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.02766387312995409)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.018869580523423645)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.017426040089577717)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.015394806164358312)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.012377656864989504)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.012169084190241927)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.007748324452182407)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', -0.0009504846737843415)
('96', '4db56105d66911de5157080c911521c2c2176cfb', -0.0011096141160226271)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', -0.005736404091692607)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.008499287854077282)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', -0.014995005166549715)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.04662366331818537)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', -0.06431077230023476)
