('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.3463553242019122)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.2705817462101129)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.26295359150506187)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.17978591323172366)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.15777241133725206)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.14812152446485682)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.1371839694895763)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.13464552845774894)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.13359606262267068)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.11740792557472572)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.11356709977340279)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.099182384504046)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.09059745480180599)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0845776797740904)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.08072878549867366)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.07799293351088973)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.07262282862839683)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.06713748824632787)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.066108522927394)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.06322069702655331)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.060675494501054916)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.057720950142604824)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.05306689431490936)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.04979032245745146)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.04364049927669617)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.043371534661677084)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.04309025183211864)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.03918428333582117)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.03784171183652237)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.034278344053343325)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.03063511154706067)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.027611340168129772)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.026867218134356018)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.026375527315783538)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.0239668641537195)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.021438816756959356)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.016628458724163388)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.014536835426053213)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.013894614611460899)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.012726351709338526)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.008347871139451936)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.008269199524024764)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.00681792553521525)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.00607427904388959)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0059316197016786015)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.005513259060785991)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.005191172593327582)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.004757079261565967)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.003950389286761612)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0034988904819691956)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0030234076866935368)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0026619625752194783)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.002420953653115138)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.0)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
