('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.28491409401766193)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.2134552041866083)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.13792456436314585)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.1330866771757384)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.12748975554505254)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.07390303569363682)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.0735565053268578)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.06259206405909674)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.05858438701705059)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.05699497830635788)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.056985110680983504)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.05613314388941062)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.05342939922437347)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.044503861357159585)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.043670621642269675)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.042231289814854765)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.03867174143877533)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.038620630046312006)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.03703731657094155)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.03504945049704233)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.031981992891533285)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.03000722222871269)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.028521994514976737)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.02424837417117086)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.023426688281042173)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.013694713238811386)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.008339204939110076)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.007416068252528598)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.00724902394064962)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.0011936653391691784)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.00045590925716178005)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.00044762210831510613)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
