('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.7958658111435859)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.6167481891506337)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.5832383808182213)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.44062984173646197)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.38803160831142125)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.3420971484967641)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.28898909281449153)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.2668503297358624)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.24467121932876426)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.23286957670657965)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.2083119652316331)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.20208114951732176)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.20108328780717358)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.198167670473064)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.1957018108015789)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.19491779798761963)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.1795453097665466)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.1677753813381662)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.1649412345817611)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.14765459010798535)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.13118658108585715)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.11661377910624743)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.07329812409070738)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.06311297375362587)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.05802557463144696)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0542471925075236)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.043198983550493064)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.004092079113522101)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.002959866749162042)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', -0.0009555460776964714)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', -0.0041393563543690145)
('12', '244509aac22ddabb6387f39e096addae57566364', -0.015340757284257413)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', -0.03426237885606484)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', -0.05225639997617784)
