('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.4750513504117404)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.2950604420508996)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.24344363404526437)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.22994403836942068)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.18647549134911426)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.17868824001120873)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.14391492650152285)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.11826835981648243)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.11659551588127536)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.10432840215923399)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.09732353754737211)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.097198077470943)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.0955485943946411)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.09118305598196333)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.08298065156233275)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.07578109439487518)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.06553350082595719)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.05994429074297176)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.05781688804218324)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.054312440323022945)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.0519892156431211)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.036754087452006014)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.027022383843121764)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.02292713587222365)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.014442003495642756)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.011160935085517475)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0070646510175358754)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.005013230874746891)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', 0.004844630425488662)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.0029062265567533887)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.0)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', 0.0)
