('222', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.7812705124096196)
('264', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.7531242021682585)
('268', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.6892272980583221)
('144', '832432b8ca56c1d7d8e7243a55b6911ff37ed3fd', 0.6114630187775758)
('263', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.5651749734855985)
('230', 'e0f5887cae095bc69924fc50eb22276d7ca5babe', 0.5257690193447312)
('321', 'd9720fc992d3b681de54df1bfaad4e5eb5ac5688', 0.5112691549780999)
('270', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.5028269309956463)
('261', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.46785310203295666)
('58', '25c5d6ed46d128bf3ca44471c0f42c95e9e36bdb', 0.45618339391938084)
('263', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.42614175082729394)
('268', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.252365687582893)
('270', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.1843014005006652)
('263', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.18243403679709608)
('263', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.1657049645258873)
('228', 'ca92e3b97442687cfc81303dec86bd4d3971b7db', 0.1582191600049557)
('261', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.15653164430343391)
('197', '49afd65768484636191fd647df37acde8aaf8361', 0.14175705775752243)
('268', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.11133531143764677)
('270', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.11064394130131856)
('261', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.08882741368589836)
('230', 'ca92e3b97442687cfc81303dec86bd4d3971b7db', 0.0869756510730275)
('261', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.0800526501378788)
('268', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.07653487075981484)
('263', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.07584251166276154)
('270', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.05606468015233015)
('264', 'c96c2431020acbcd06cf0ec11caf4cc18de05c42', 0.03481788117227655)
('268', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.01702924898328804)
('263', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.016652873354514687)
('261', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.01521279111382649)
('261', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.013989617165746565)
('264', 'a0be225d086f7eb1db89a32a2636760b68e5f90f', 0.00941159771806798)
('230', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.009297574110645457)
('270', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.008194852842671622)
('268', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.007336835637301554)
('264', '1bf181f4bf01aaee454cd0aa8b60886991280073', 0.005836198876076682)
('228', 'e0f5887cae095bc69924fc50eb22276d7ca5babe', 0.004159427345965716)
('270', '1613a08a7d0d4cc8396fbf7c66492076625094ae', 0.002687024892706662)
('264', 'aeabecfe2c9e7e18ca7130783e1ed456e0909ab3', 0.0)
('264', '7c5d268ed205d9a9d94edf250782a9f9f45a3681', 0.0)
('228', '91381d7b8c83882982510e4ec78ca6fab6ff54c0', 0.0)
('191', '05bb938a19cf445836a054affc72ad8ec48f406d', 0.0)
