('2593', '6c1dee00048e7a391dfaab9c3d36df4a62c4239f', 0.9569358182238216)
('1994', '7a99e4a633312c9f10c33d8d24b17979f6bac5b0', 0.9077484995460677)
('771', '31246e2cd3356b224e5a5404ec0476f97241235b', 0.9062781994510883)
('1174', '18ce4e0b39f08d64d9a24347102796998bb90820', 0.8661439605455259)
('1507', 'b0c791e00760488d76b0634c84dc3b5a239ef4ec', 0.8656422311783127)
('2545', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.8569830292192676)
('2271', '1c331c217d48c1186b0cb2d9ccb9b06229c0a6df', 0.8269738964599844)
('786', 'f2569d1797644751699068d1fe98ba85e9215ebf', 0.8183689962373794)
('2264', '91242006f5601b9bb260371f3c69c1246625b008', 0.8156588011476461)
('1950', '61794c4c19ba489c5885f028eef48832a12ef29e', 0.8045051647586342)
('2295', '00eefb99b428759d73095b252fc60c191ace432a', 0.7951999152959529)
('2119', 'eb7471eb47b8d93ee9bccac65b9e3bb6a53deda6', 0.7713887315970204)
('2545', '85da7cb9d5f921de24c642b6ff55ad3f886fefc7', 0.7685205036329493)
('1493', 'f41271224151de0e033a604f25e147772da02092', 0.7650657609688629)
('2319', 'd4b2318663377208afc051b26e05c442a883b7d6', 0.7417292394399655)
('787', '5d064bc6dba71dee2479af25326af8931a5d1832', 0.7366367767516209)
('1598', 'f26621dcddbbbdd64e70a7b0e8aebf8f80a35efb', 0.7352543365240151)
('1715', 'aaa895afac87e2c5679df0cfb8534db80c9af900', 0.7343995735709105)
('535', 'bf9a20bf9aac358f5d6bf824e723713f1475b6df', 0.7272132119639844)
('1540', 'e5b92293b2f8fdd2f860917c2c5d4481af4f8b62', 0.727183558401485)
('535', '4770fce08c8e053b6ff57564c1facfc3d46aff63', 0.7264001034160381)
('2545', '9d5c25e12ec36a8ae3fa4f2cccfd60fb337a7875', 0.7240030400233985)
('1715', '87e3f8ae253381eb9fc707e65b58f016823cf46b', 0.7212713381439965)
('1709', '2733d93e92d11e2ac70ffcdf5107a6fb1cd50310', 0.7152494063157917)
('1785', '582ac117b8391fc8a687bbe706a207fb2f2a1ea7', 0.7079962363839393)
('769', 'b674ac9ba68464cfd27d3a4879737f73ac99b442', 0.7063270203863308)
('1799', 'cb7bf9a76b4bc7a07849c3cb3fe99a993207853f', 0.7055941844439801)
('1758', '1cf5ba50dd83eef7a63bf7c530821ad31f7bfd0c', 0.7053613836062921)
('1808', 'cdcc4ed07c9975f21a8650fb319403b8dc05df57', 0.6948239186893652)
('2167', '5170a3b9447c629193d01085442beb4e7e3755ce', 0.6946172004560631)
('1377', '3902b8c30a7af4e20c5d6ebd65e3f1798c4f5cae', 0.6890926959277306)
('1651', '7322da961ba933bc35e14f2c959f728572988e0f', 0.685345510287268)
('2183', 'a117b8b995e091b624b61b49718b9ac8c2569ade', 0.682150458442644)
('2167', '98fd85140cdc9ba10879a5d797c646abe842606e', 0.680699884429088)
('1645', '7322da961ba933bc35e14f2c959f728572988e0f', 0.6745409584046114)
('1645', '6c147a5667e2303d42c97221f7818d2ea2d2dfc1', 0.6739329211791353)
('1356', '165eefe9a9528b5e8b9919298963687dc8ec1be8', 0.6727508503254294)
('1311', 'eb5c8d708e59d58661f81a2227315ab65419cf59', 0.6709845751230955)
('2061', 'bfec2d8e956525eb0cd3d2f9c650653164ce90dd', 0.670952073753857)
('815', 'c30536c061d4629e743871cf940c15730bcd224f', 0.6694625213452843)
('195', 'd205432029be103fa0c4777ca0f38f3a3365ff68', 0.6595301973021391)
('1932', '2b164c377bf8b0fc245eb244a3ff96b0ea326304', 0.6541747957210993)
('1759', 'a31afb10c402a996e2eee28ef4408d66932dd962', 0.6478894690456233)
('1591', '66e773f5a25af1fdfffe7f5ff0edeb0cf4b3dc75', 0.6468855429586574)
('1339', '9b5e528007418d74912fcc7d49d46674f7df726f', 0.6452550698651568)
('2422', 'd6812d290e5d4431e1a065212f237ab837b3a765', 0.6350716059114403)
('2280', 'ba13f107c934b223412ee339a8cc01579577c378', 0.6325615797860458)
('2433', '8f63d503012b437c7510d828de75b2d53c5459ba', 0.6288032581126007)
('2037', 'cf228c5b34ba650d2c7db39cbb885c569360752f', 0.6239057365628506)
('1845', '2d8ded4f0c4b134354b82b0831d4309b55a1c97f', 0.6095257410355623)
('783', '5147c46ade6bf649b43a79f54bd2b5751b4c52e3', 0.6074718354170893)
('1391', '26d2087237e677af975231e52d194f0934116831', 0.6072540679780996)
('1651', 'c607356412fd76f06e318878108d0e9f993d51f2', 0.6040555131740313)
('1695', '595743a362d22e3b04c10950211802c114db47a5', 0.6016302603275305)
('2271', '729e203df97e1b228d75ce300d03ee82281d4569', 0.5981022392982683)
('872', '3934f9bec77e39a1746d9edd347055efc5d74b1f', 0.5973975987191797)
('394', 'f1930d284e9fe55695c9e5c7919cc1819e603945', 0.5970523112742153)
('2118', '077ce62ab069dc7eb1ee49fa28c7ce1dc669d90e', 0.5919811792394122)
('2028', '4587054bffd4094cf91a6b668dc744be211c0aef', 0.5892345307284496)
('1945', '20acfee9edff6a98e696f75f48a28d912b0a992a', 0.5854890056163148)
('1420', '2a64573d5d326313e2cf77dc3e0c18d745cd115f', 0.5807445360225805)
('2000', 'a524882bd87c9e298f270aac22f57c219b252e85', 0.5744365389691638)
('1455', '99f0096c723e92140e2a425bc88c1afa44efa3db', 0.573896481301534)
