('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.295952706397527)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.24406145677849003)
('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.2384358397122321)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.23715007403472343)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.20147413008931764)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.15620929777258682)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.13923793129430753)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.13288007991657452)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.1307372507338758)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.1269154918961508)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.1241778131730456)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.12162525981148006)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.11830870443284831)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.11533741511845864)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.10680631566915318)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.09789392153843146)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.09597690011147952)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.08985966193873667)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.08359002139897984)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.08207623015327184)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.07953403746807275)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.07542198804914833)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.07332355705557092)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.07016481097787262)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.06109610139927719)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.05989627071536742)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.05784340460023693)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.055260977246465295)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.05454944728140445)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.052791920909434374)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.04600785899843021)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.04395792817248697)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.030609869675296414)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.024989463926429388)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.024970466154395413)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.024547200996362394)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.023079388339663685)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.022027627218584006)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.016696615180710965)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.012362189025397785)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.011448352491203446)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.009760016989639667)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.008974545354786036)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.008662953247624753)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.006187853527421592)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.005694884469703514)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0037064572829221855)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0030613132227710117)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0022582061605815776)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.0019400811259511895)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.0019075083652665239)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0014964663538161633)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0013101924968859707)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0011507187128505533)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0010625968345827923)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0008577568122384293)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0006124795636712076)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
