('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.2641618381587341)
('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.24547540017110905)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.1836294427922722)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.15523588433166824)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.14598600644715407)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.1326772139778379)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.1313093483386955)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.12782730019627978)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.12031390714656243)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.1090915259415378)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.10613309662206558)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.0981751458878992)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.0966254748821324)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.09547890895716367)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.0951573901994774)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.09348626316193134)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.07824613634762272)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.07385230709925178)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.06960203329797301)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.06787489053970125)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.0637205298982057)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.06362112058897587)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.06008736203880304)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.05851873108147473)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.05440064387016472)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.05426210442456373)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.05349394032947798)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.05289715389556769)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.04993304199247468)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.03835931735678312)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.0340854610316279)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.03301594724494852)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.030168693517693388)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.029586878339946384)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.026216253717915923)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.02457687978554596)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.012776723106459918)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.011547562348471437)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.010230282938821222)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.010061203036595627)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.007492357458897873)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.006755502163827134)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.006018404166032872)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.0056814320664874485)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.0030954329369488206)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.002877743009834605)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.002682146000031805)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.002344144469150476)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.002076495806046867)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.0013317158860953332)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.001048347444818698)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.0010287236816949167)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0010128497802118677)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0008908960492963519)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0001832525340936166)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.0)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
