('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.6271632046546762)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.37615124879734374)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.3555384138793188)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.34085344074799584)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.3374135673150167)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.33066801883087854)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.32053157979882124)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.28250976466113437)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.2629507684589102)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.2606033805222857)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.24944516694923516)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.24483199236405037)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.237916800953812)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.23376268745846351)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.23376005132704772)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.21650882018055936)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.20838286096486094)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.19205439779163064)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.17185552348509564)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.17120370954694575)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.16246350238113316)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.15439869112367632)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.15359479122250588)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.13560709143803992)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.12771867384065727)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.12728748345200316)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.1264657440867644)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.11248049509324763)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.11116113502960427)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.10696608813171926)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.10499828396311513)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.09812491853129135)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.09811805236354715)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.08756377239996865)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.08196657369236988)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.07875037211432087)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.07719892119636919)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.07182322419959529)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.07018969610874053)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.06449929800410122)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.06427085919788904)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.057340362530915095)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.05341822637387351)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.039437370190215086)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.030307412905509427)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.02979201026951065)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.02847885221418397)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.028442672798648847)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.02768811103524945)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.018843590239913093)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.017299693676495385)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.01541582937443869)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.012365250613718263)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.009264440507648955)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.0077335389525077765)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', -0.0009945083747340227)
('96', '4db56105d66911de5157080c911521c2c2176cfb', -0.0010721165460541363)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', -0.00569425454799836)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.008383397279188812)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', -0.015003324403211471)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', -0.04665535223105633)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', -0.06458617153462767)
