('75', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.34841407564814625)
('76', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.2509383149488723)
('100', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.2409690972003547)
('44', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.2219667388228144)
('94', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.2015392332769353)
('35', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.15063225866791138)
('1', '65712d130369824da9d0033a82d240b1d0066833', 0.14866987986407867)
('83', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.1472283816254477)
('96', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.14290719205048907)
('7', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.13620159274484858)
('37', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.12772574537210302)
('63', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.1139344153733682)
('16', '978fe132667a8d39664c50f674f71c86ade8a169', 0.1116103558057946)
('39', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.1047122623015049)
('1', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.10218648330100948)
('87', '65712d130369824da9d0033a82d240b1d0066833', 0.08766661321535366)
('1', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.08108900451597101)
('1', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.07712190709285537)
('1', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.07399957877666183)
('98', '4db56105d66911de5157080c911521c2c2176cfb', 0.07341185815385305)
('1', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.07014990338916292)
('1', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.06843681020827283)
('42', '0baf9391a9dd42f1633ae732d526c9e1e25ed473', 0.06656948458865725)
('68', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.05716127557655601)
('1', '738dc4a412f53828ba8622cfc444be94c16c3996', 0.053195603885194336)
('4', '840bbb7e117f4577f545a9da351f74a6b1d05de0', 0.050653380902850445)
('1', '01f791b878350ebd24284b8cad18373b8b0a1214', 0.049574200761267416)
('22', '556696580fe93fe788726ceced18cbb4671e651b', 0.0484360877315657)
('47', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.04532206326245454)
('1', '78beb9439d1a1604efc119846467086ab863e0a7', 0.04476594559710713)
('1', '978fe132667a8d39664c50f674f71c86ade8a169', 0.03820695416907484)
('99', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.03774659962234965)
('1', '2b67ec40d35cf3e4bf49e97b96b123e4e891d343', 0.03557711722656531)
('46', 'ee731b94aa44f7bd5fbea2fbc47a02d0f28e62d2', 0.03136984413656028)
('1', '8c083c4da7c9eec791c256ade13d0d19dac11a89', 0.025932503278754588)
('73', '78beb9439d1a1604efc119846467086ab863e0a7', 0.01886159971816673)
('1', '556696580fe93fe788726ceced18cbb4671e651b', 0.018739467611053266)
('1', '4db56105d66911de5157080c911521c2c2176cfb', 0.016874695467600526)
('1', 'af98b91a1ab60460b67028e348263024c496dafb', 0.014397157109261087)
('1', '9ab19debd0c226833d1d66e87fb3ac14febd591a', 0.013975498516736152)
('1', '19410a6ecf69972ca06d9e0952759b34bd248b27', 0.013287282058921254)
('1', '955bebaf859d0ae6c5e4431b35a1a58f96bd38a8', 0.009625917149349253)
('47', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.009135624419335972)
('1', 'a3621f6958c3cdc59c1aafcc2c7c8577ef29e74c', 0.008268528195198086)
('16', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.007979874834664172)
('46', 'fb5284dd2c586f3114109a9f23cce8f0adda95b1', 0.00783619171218918)
('1', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.007389838927529328)
('1', '5eb01639fb09dde60f5759ef4b52f80804696dfa', 0.006937045908786257)
('1', 'fdd0c1793c586fee7e599596671ff22c8aee5329', 0.004114144020872333)
('1', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.003995034528005376)
('1', '1be9032c114bf956ce42f198aedd577f5cace5df', 0.003666262120733062)
('1', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0036035845943677737)
('98', '9245d653e68f5c48029de054e8a185ffd771a9e9', 0.0027609349384357823)
('1', '443742ab606d5ceffd920702fcede7ff13b17a71', 0.002563695177159246)
('96', '4db56105d66911de5157080c911521c2c2176cfb', 0.0)
('65', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('65', 'b9620454280c4e7f3efb430af69667dc05ac48e3', 0.0)
('63', '3aad354866f70d5b18988a81fc1d07895c854a0a', 0.0)
('54', '74d37c477e658038c51df7c15a8ba04095e1639f', 0.0)
('20', '90962f5f39e74db57a991dc1614998f7031a4f0b', 0.0)
('20', '978fe132667a8d39664c50f674f71c86ade8a169', 0.0)
('1', 'e537644437c42b179c0f4bec95435689547aa1cc', 0.0)
