('75', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.4829569093494036)
('56', '314257056225969156647c71e1be58307e660206', 0.3544465140366556)
('32', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.3541955625544272)
('61', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.2868709667213834)
('52', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.2403514227236757)
('30', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.22318432390598528)
('39', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.20614611067762045)
('30', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.16401902935512283)
('20', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.1599408158006401)
('34', '4732221e10b0b826ca2447af17f16a291081adca', 0.1406479506272993)
('19', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.13199956565843649)
('73', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.1277438388733812)
('30', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.12447919822822426)
('59', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.11923395285931952)
('30', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.11530598230497563)
('30', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.10298774624145365)
('30', '4732221e10b0b826ca2447af17f16a291081adca', 0.09512707792225546)
('41', '4732221e10b0b826ca2447af17f16a291081adca', 0.08694691913058981)
('73', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.08572675237541422)
('43', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.08289825774680781)
('30', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.08061992995992302)
('50', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.07556324524249539)
('17', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.07547970230409416)
('30', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.07529337150270411)
('30', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.07369190298546305)
('38', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.07331693636797566)
('73', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0726342410251641)
('73', '4732221e10b0b826ca2447af17f16a291081adca', 0.07180353819696421)
('41', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.06961449466518196)
('35', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.06586178602783994)
('41', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.0651264618480049)
('51', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.06452790902570059)
('30', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.06406008534577477)
('50', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.06312313520204393)
('30', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.06301273210777569)
('73', '570f74fe34c84945e2ca6cc3c238e721203a9050', 0.059959062120181185)
('73', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.05357854835733481)
('73', 'f72e20690364c439618211610f34fe94050311a8', 0.05295369885538269)
('73', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.052896435191196405)
('50', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.051818243987495724)
('73', 'fcac93ed76c9c55fce2628e4bc3bc1bb0f32e7e4', 0.0420265041058763)
('41', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.040943224905737784)
('34', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.03742530286401059)
('73', 'bb9428f203b35c8331e7281afa7d668bc1689e27', 0.03679040379154692)
('30', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.03595484563457849)
('73', '77ed35bcae65ef83ed0760b6bc918b7b82e2f237', 0.035470540216380075)
('30', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.03359236426180337)
('73', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.03348121229930961)
('73', '1d10a392f8e403e49c4551a58edda7967ef3e6f3', 0.030579927157883702)
('34', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.030372688881176238)
('73', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.029738994547513636)
('40', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.029469592486504253)
('51', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.029381702010501387)
('35', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.029073091173908137)
('73', 'c07664dbf59eddf509d2a67ddee4517f79887110', 0.028651710068109324)
('39', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.024979361641774965)
('52', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.024839099639299915)
('30', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.024531893181611187)
('52', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.024501339288439172)
('73', 'eceaa0e70458b55bee7608d1b80dbf50f5cbf54c', 0.022485674745459063)
('73', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.02032549840255888)
('34', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.020084881373268484)
('73', 'f814c6ae28e56ad23002f44f419e99074c111c52', 0.01955880886698914)
('34', 'c96c2d144fb9cb018549a0c77b5d0c70028fa231', 0.019321906916080066)
('73', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0162720054161601)
('36', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.015851455316272484)
('42', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.015672805617927874)
('34', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.01465262621748256)
('38', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.013002459856704653)
('73', '4aed57ce101ecbb9f0eb1b9b210b9796d776a891', 0.012292128752851232)
('73', '00f8f80387e04ce35ebb30d9e4446feff18871e5', 0.012075959345423057)
('30', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.01206280028273471)
('73', '6e8695c466bb1be388ce9a6908035f22a2cb21a8', 0.011349610980157404)
('73', '1047be7aadc6edb93bbca1f2ef81c9709faddb4c', 0.010956180906452277)
('37', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.010608637546826784)
('30', '314257056225969156647c71e1be58307e660206', 0.010468690863161427)
('34', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.010155123925213632)
('73', '7e31bd50a933f4603bf66fda9f7b4344bd9f7a03', 0.009975972846131172)
('73', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.009965639511186498)
('73', 'd8e9cfacec7d0384862714c01c235fbf1c9187af', 0.009685285050125036)
('52', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.009427733778617909)
('37', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.007681972146859796)
('34', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.007366982088061825)
('73', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.007115781403237637)
('35', '0cc29c90afcfcbe415118e1f9bf06c6d5149048d', 0.007102980087586468)
('73', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.006708285391691952)
('73', '6eb98ea0155ecc560af9d61b12711f532f61fa6d', 0.005785619355200141)
('40', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.004339297840485816)
('38', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.004268247136699503)
('73', '6a0bb9b55c52db0d5c4e0bf66bb4ce531a8169a8', 0.003990084376734973)
('34', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0034440757990856666)
('51', '0a67ffd9214fbc33e3bbc1683c7d82a243e4518d', 0.0030232817089745566)
('73', '026bfff2cb95efeee04a37e97683a9f366a24146', 0.002845642174546177)
('43', '6b1c64d9aa4d2942e3e8d07043ae7202db1a8904', 0.0023879564298795665)
('36', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0022071871359164268)
('73', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0017098209281352684)
('73', 'e449763453bc09b38385fe380d61c4f037fc07bb', 0.0014570994865785315)
('73', '314257056225969156647c71e1be58307e660206', 0.0011635269836020323)
('40', 'f1f72625a741704e45b45dd168ee1bb68da19d85', 0.0011466122989749936)
('73', 'd563a430d77451eb5109a01b483413a3f51ec909', 0.0009835603370028714)
('73', '7163edf53fe9194cb0246d31ead4e160bf18389b', 0.0)
('73', '98426917fab0c0b20b85dc4403f1e433644f00ef', 0.0)
('73', 'e990c1551701018e1179390ded792c08b5ef9a5b', 0.0)
('73', 'aff5e47f51602e7691987eabc1cca03df49d973e', 0.0)
('54', 'd57b8564fcfa9fd4f59b33f55734b5f4c61081e0', 0.0)
('54', '1a06521af9870a3cd00e3daa88f2f7471d14dc2a', 0.0)
('51', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('50', '79d361c150d2c82d0a90119a8085875fbee3af9f', 0.0)
('49', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
('47', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('44', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', 'f97fe9524639a000e0158e52aa01d5592beb2404', 0.0)
('42', '3a24cafada474599d6e8c3d10148e3f7af30b0c6', 0.0)
('39', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('35', 'f87b280bcd2a399c6baab1e8044d822e4997bcbb', 0.0)
('35', '5f933045ae69d500ec3c9370fe98ab0ace81a698', 0.0)
('30', 'ed3810827df9f47ee0936b68e4e80ba8d8c451ed', 0.0)
