('209', 'f462f467062e7df2344f661701567b67c4e4dfb4', 1.0)
('183', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.978671117705045)
('222', 'd3751a99af4faef49632b6c88874b96682faa630', 0.9783799089965125)
('222', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.9783454985135251)
('222', 'c348398d45788564a63221179fc6c60f5af23583', 0.9779134494347107)
('222', '30919083e84756b64c9520329369896987972855', 0.9772469637325324)
('222', '8074576b98adb5618832c8b5b209d95589acd32d', 0.9768629842712097)
('222', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.9766908614979214)
('222', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.9759099131157541)
('222', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.975889644746015)
('222', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.9758681534830358)
('222', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.9720444809544958)
('247', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.9689087767788349)
('222', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.9539084360410505)
('293', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.9222682871326874)
('222', '0667224647701d1b0562b3e872f43ef520a33599', 0.9111136879199816)
('299', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.9054909812521124)
('128', 'b87efc470e143d9fd2e88956720010ed9c1cf5fe', 0.9027879511904245)
('295', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.9001729188816096)
('247', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.8947224067094219)
('247', 'd3751a99af4faef49632b6c88874b96682faa630', 0.8946844509750814)
('247', '30919083e84756b64c9520329369896987972855', 0.8946459139404226)
('247', '8074576b98adb5618832c8b5b209d95589acd32d', 0.8945891488887555)
('247', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.8945424376441462)
('247', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.8944861290952306)
('247', 'c348398d45788564a63221179fc6c60f5af23583', 0.8944803962179292)
('247', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.894431937103034)
('247', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.8943423246987012)
('115', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.8941296969723179)
('178', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.8932343967526722)
('145', '30919083e84756b64c9520329369896987972855', 0.8925053902772243)
('145', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.8925053003145081)
('145', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.8925052314776467)
('145', 'd3751a99af4faef49632b6c88874b96682faa630', 0.8925051244856491)
('145', '8074576b98adb5618832c8b5b209d95589acd32d', 0.8925049784483805)
('145', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.892501794792866)
('145', 'c348398d45788564a63221179fc6c60f5af23583', 0.8925008058554914)
('145', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.8925000417402272)
('145', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.8923512959805453)
('247', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.8908314517669963)
('145', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.8888624398986393)
('124', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.8806859386772705)
('145', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.8722337254183515)
('115', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.8674504677775938)
('283', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.8549638748953563)
('239', '01918ec9e536698eeb83709a0f4de34f572f7473', 0.8516021370236663)
('239', '8b6c07be42916aeef3aad39f11df49b18f3498ef', 0.8515869603611771)
('239', '031f2f1a166b0ba9dfb44c37dbb9c238b8dd0d08', 0.8513197400247948)
('247', '0667224647701d1b0562b3e872f43ef520a33599', 0.8447404535105073)
('222', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.8425376445575761)
('145', '0667224647701d1b0562b3e872f43ef520a33599', 0.8313104784853023)
('118', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.8258177044650821)
('293', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.820658815077924)
('293', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.8204971283365714)
('293', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.8204603617895604)
('293', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.8202760457849615)
('293', '30919083e84756b64c9520329369896987972855', 0.8201268327164298)
('293', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.8199925693205043)
('293', 'c348398d45788564a63221179fc6c60f5af23583', 0.8199566103179525)
('293', '8074576b98adb5618832c8b5b209d95589acd32d', 0.8199493342577426)
('85', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.8198988761211446)
('293', 'd3751a99af4faef49632b6c88874b96682faa630', 0.8196259642085574)
('293', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.816898061635275)
('115', '8074576b98adb5618832c8b5b209d95589acd32d', 0.8098249745515694)
('115', '30919083e84756b64c9520329369896987972855', 0.8096744343000948)
('115', 'c348398d45788564a63221179fc6c60f5af23583', 0.8096363285573327)
('115', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.8096197354549464)
('115', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.8095540112152528)
('115', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.8095178216149274)
('115', 'd3751a99af4faef49632b6c88874b96682faa630', 0.8095155208475421)
('115', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.8095012162411134)
('115', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.809480425292826)
('54', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.8091659678642187)
('115', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.8063251514459439)
('256', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.8060410631701433)
('295', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.7935262320114557)
('295', '30919083e84756b64c9520329369896987972855', 0.7935158694654278)
('295', 'c348398d45788564a63221179fc6c60f5af23583', 0.793494012438399)
('295', '8074576b98adb5618832c8b5b209d95589acd32d', 0.793476710202753)
('295', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.7934757373495606)
('295', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.7934548113058456)
('295', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.7934542570860172)
('295', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.7934454934976068)
('295', 'd3751a99af4faef49632b6c88874b96682faa630', 0.793438292032497)
('295', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.7903198421350744)
('140', '82075cd1368da66ce7c5a30538eab4d64de24b8a', 0.7839928388543145)
('295', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.7794452249852001)
('293', '0667224647701d1b0562b3e872f43ef520a33599', 0.7788784812360198)
('145', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.778634993872034)
('115', '0667224647701d1b0562b3e872f43ef520a33599', 0.7716429319046234)
('247', 'e226b5e198197cf72fc41a41d737ae14a1c51e69', 0.7712930408420233)
('2', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.770156317095806)
('244', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.7599484014528599)
('295', '0667224647701d1b0562b3e872f43ef520a33599', 0.7565378082317116)
('299', 'acfac488288a1ed5c141b3ada48e6f49c57bf095', 0.7554855654567598)
('304', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7514967110850647)
('140', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7512548014992119)
('283', 'e05bc7a682250d10e0ef98a940bdaa962f5cb611', 0.7263243039190913)
('283', 'c348398d45788564a63221179fc6c60f5af23583', 0.7262681460066835)
('283', '8074576b98adb5618832c8b5b209d95589acd32d', 0.7262671254771315)
('283', 'd3751a99af4faef49632b6c88874b96682faa630', 0.7262544513043041)
('283', '5f0a1286ba346c78744a3cb9b55dd81672b411b4', 0.7262480201682748)
('283', '0d90d6e89558e6c2b70ca8a4800db1e4f7a5edcb', 0.7262318663017708)
('283', '30919083e84756b64c9520329369896987972855', 0.7260941745476227)
('283', 'df9f4a7d2f76de7b3ddf974fac35f4caf10b0ed6', 0.7260169776945893)
('283', '797db1b9187b0ce2f58ef3f28e5a131e8e03a3c1', 0.7258899238005445)
('283', 'b9cd75b6401b8ea3dfdbe0c8c095ea23c85961bd', 0.7234161926537359)
('118', 'a56f4c6c52576bcd135bbfc448b6dd2f26459d08', 0.7169552387216216)
