('67', 'e737ac5d71ac12d067bf1c23ca330f694e1c4202', 1.0)
('173', 'acf9989f7200ecb6d3b2130224d27f8d69fb2614', 0.9998018904451467)
('173', 'fca9a6e9a146342e4d16b09ae8f9697282e566e9', 0.9998017437939402)
('412', '8f2a5436b11bd3cd864ae3ad54295aa0a56c764e', 0.9964108737097785)
('74', 'fb3822190956e942b4593063275a64a82877a8d7', 0.9908474765790717)
('74', '6d8ebeea239c129843305ee37928e93b102d588a', 0.989672044068114)
('112', '55cff99e87728fa6a75bad0bd6bd61043f3795a6', 0.967746183329429)
('112', '99f54a9cfc6252f1998836b79cd56d7e8229a206', 0.9675332151978457)
('112', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.9391769036636497)
('56', '99f54a9cfc6252f1998836b79cd56d7e8229a206', 0.9349570965468219)
('56', '55cff99e87728fa6a75bad0bd6bd61043f3795a6', 0.9346889918710249)
('112', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.928241338771521)
('168', 'dbcde9fe427e1f88ffab6d77919557643fdc8b66', 0.9108076490137896)
('168', 'dbf6a842ab13ea73591157e6ad71a41f1710cba4', 0.9102564605814468)
('168', '3de9456501b0494b140a575c9c3a33a08eaf0692', 0.9090950187472672)
('56', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.9073197203850499)
('56', 'd37f4c9eb0c34591e92ec3d85c9ec9c49d7096e8', 0.8982508011964141)
('240', '00aeb9ae432e650b112be7ac5376f445fcbb82f3', 0.8597544094402972)
('240', '33565a89c63cb89b1d6c9998d56fe54dfc560157', 0.859746851118469)
('336', 'aee4cde690a34e9e20a6df6749fb77853f1e46fe', 0.8086722159015588)
('62', '2526b84d97e5dfdb2302afc1e85586e921860423', 0.7805198658480955)
('180', 'acf9989f7200ecb6d3b2130224d27f8d69fb2614', 0.7754830008110373)
('180', 'fca9a6e9a146342e4d16b09ae8f9697282e566e9', 0.775262709099795)
('173', '7b0e516a1142d763467824a3882480ac730d93fb', 0.7396129348306658)
('135', 'c0c5171fe72c80b6100dad99b822b80759881c80', 0.73725083605414)
('173', 'b839be59dad3639befeb8f9932f048cc55397893', 0.7356107733523697)
('88', '99f54a9cfc6252f1998836b79cd56d7e8229a206', 0.7282037077171853)
('88', '55cff99e87728fa6a75bad0bd6bd61043f3795a6', 0.727327251254547)
('112', '2c4e9edd360aef8920a2ebc67fd7008a0f72f80e', 0.716927946438073)
('168', '316b6191d325ca9c321afbce5c6879345ec1ef80', 0.711488645724064)
('325', 'b839be59dad3639befeb8f9932f048cc55397893', 0.7086449320022363)
('88', '14c66103e2a3450e067c6613ca2601ba1f055b3c', 0.7060299646867692)
