('144', 'a5d6c3b7478c882e24d3f891b006113685f75c9e', 0.8187274571216356)
('890', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.7984593752552428)
('1019', '10bb800f85ac047071a942a3323fccebed3dac44', 0.7448539755172384)
('112', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.737954596827106)
('126', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.7352615838289001)
('442', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.71470144687533)
('641', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.6940289686758568)
('130', '44f2b74862f67eeac2b16738475ff48cb4abdb6c', 0.6815204130904207)
('126', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.6683623380433618)
('126', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.6550392934157808)
('663', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.6394063130239951)
('162', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.617872513122217)
('1001', 'b893aafae764aada0b8122b9cb7f7f40472c9487', 0.6112569562557294)
('257', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.6110593314457163)
('618', '7de40091a34aaef868fa1244dc29a46602f625e9', 0.6100905677170326)
('202', 'e5444ae658cf841577978c2ab7fc2d4fd0a3f69c', 0.5951531608498144)
('442', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.5778508678937684)
('890', '32910b59830d6b10fdd4a2218a5151af4a922838', 0.5729396044201833)
('890', '3c913d1e2209a0ab73b9568f2fae29aa92e80b8b', 0.5724887133595993)
('641', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.570529151819813)
('257', 'db4fc68a550a2a6c42ddc91e7302eca985e9a468', 0.5649712997436493)
('106', '5ade05711350fe190ec2898106e591dd0564f4df', 0.5639672079179867)
('890', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.563861692306992)
('890', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.563711675237023)
('1019', '3d5f13fec8b840f5d913103264db8f7f4c2c1f72', 0.5543992806062273)
('1046', '2d930894ffc944af6d62bffe60118a7a0c98d3e8', 0.5446593333628194)
('663', 'a2241e25217f7ffdd8824502a47bf3b18623dc2f', 0.5330882338885988)
('1047', 'f822761ab27bc5ee262ca8b80cd2e0dcb283624a', 0.5259824063222395)
('126', '5394613ba667f9747673cb8921fc50acedc9d8b5', 0.5249626483425288)
('126', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.5248662344544645)
('709', 'dca1b2004321c824b33a3eaf27d0d926d35e72df', 0.5234603152284586)
('415', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.5176447204981084)
('126', '1f16310b7d694551f094bed49fb0576effefab3c', 0.5145638678843297)
('639', '11467fca2a078a6868473b61a9608ba45e337795', 0.5092461853590765)
('1019', '448fc8bcde787177db5adcc6e26bc5aae1eff4ab', 0.5071713758729817)
('641', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.5048513455744108)
('507', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.503094365925022)
('641', '5aed505429694130a76115b7a4219b1a36f53346', 0.5028821454502358)
('119', '533c5cb8f6bda878779fffb1a4adc792f62a81a7', 0.49358328895614945)
('639', '3930ea0f9bc5076c3f1611bf39e8f0b4cdfafae2', 0.49242361340595214)
('440', '37478f3409f5d3ffb5af1f7e02c6b2005806947f', 0.4902444630001297)
('202', '03ff9512dddee8c46ebf661fefebdea88217b281', 0.489385599050812)
('890', '1f16310b7d694551f094bed49fb0576effefab3c', 0.4865188728472135)
('1059', 'fca7da6bba41afa0b0a25dbfaf5a960160f3b8b1', 0.4840934588273688)
('1037', 'b5f5d3f0f0a92fe8b6fa4e0082ef4dc53c66344c', 0.4799283195118816)
('641', '847ebf9bf3187fb83616badbec1b2562053ae83d', 0.47990903012534947)
('535', '8b57b9a0a53c46bf22e4cf683d8e616a3f560a0b', 0.4782139849875946)
('641', '23f7b3b5d82c3571454877e32bc6f5bbd020b4c2', 0.47701980124340765)
('442', '377a72e1c0373f5377f48e68307baee0c5bde37a', 0.4768623637316014)
('442', '5aed505429694130a76115b7a4219b1a36f53346', 0.47312254354395294)
('535', 'edc2fbe1dc359f8083b462bba2c24de30338d976', 0.4682590674719352)
('442', '11467fca2a078a6868473b61a9608ba45e337795', 0.4679407406989085)
('3', '73627df082ff499af4ca1c482f79e304905007eb', 0.466558510154427)
('1075', 'b9e3629459beb8c976cf2e3fb74decb356f8c169', 0.4615333895120173)
('1019', '3104b4cc24bcb53214ec1e33d148950a29db9160', 0.4556895967378912)
('360', '6b7109c66b19f5bf97ad7473e0131c50ea8924f7', 0.45126273025373737)
('280', '20d8ac67dc04e9e0c4484af769b156bcd75ef00b', 0.44852171908163674)
('942', '88bf2ae64dd588251bc6200fd10a45828623142a', 0.44539489557308076)
