issue_id,issue_content
1086,配置 打包 设置 默认 模板 application yml
1084,fix
1083,扁平 发送 出现 发送 空包 现象 应该 存在 同样 问题 代码 行处 返回 数组 数组 中值 可能 空 但是 下面 没有 判断 会 发送 空 消息 应该 存在 同样 问题 另外 问题 请 大 神 帮忙 回答 一下 这个 对象 属性 什么 情况 大于 发生 操作 就 会 大于 rocket mq kafka https github com alibaba canal blob master server src main java com alibaba otter canal rocketmq canal rocket mq producer java url mq kafka flat message data length dml data size
1082,版本 搭建 消费 客户端 怎么 对 类型 进行 解析 想知道 怎么 解析 问 折腾 久 可以 参考 cana kafak kafka rowdata store value thread info c a o canal client running kafka canal kafka client example message id entries header version logfile name mysql bin logfile offset server id serveren code utf execute time source type mysql schema name table name event length entry type transactionbegin store value header version logfile name mysql bin logfile offset server id serveren code utf execute time source type mysql schema name smart meter table name sys region event length event type insert props key rows count value entry type rowdata store value b p b b id b r aint b f name b r vvarchar b tparent id b r aint b level b r ntinyint header version logfile name mysql bin logfile offset server id serveren code utf execute time source type mysql schema name table name event length entry type transactionend store value raw true raw entries store value message util parse dml
1081,版本 数据库 乱码 你好 使用 版本 启动 后报 如下 错误 看到 乱码 请问 怎么 解决 本地 一直 没 重现 能力 可以 尝试 看下 解析 过程 改 类 加了 解析 方法 然后 好使 这个 改法 都 曲线 救国 硬 编码 处理 没有 找到 根本 原因 可以 试 一下 改法 主要 原因 处理 行为 有点 不太 一致 针对 这个 对象 会 执行 会 需要 特殊 判断 处理 maria db journal name maria db canal destination cloud address event parser warn c a o c p inbound mysql rds rds binlog event parser proxy prepare to find start position just last position identity slave id source address address port postion gtid included false journal name mysql bin u e u position server id timestamp destination cloud address event parser warn c a o c p inbound mysql rds rds binlog event parser proxy find start position entry position included false journal name mysql bin u position server id gtid timestamp destination cloud address event parser error c a o canal parse inbound mysql dbsync direct log fetcher i o error reading from client socket java io io exception received error packet errno sqlstate hy errmsg could not find first log file name in binary log index file at com alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java canal parse jar na at com alibaba otter canal parse inbound mysql mysql connection dump mysql connection java canal parse jar na at com alibaba otter canal parse inbound event parser run event parser java canal parse jar na at java lang thread run thread java na destination cloud address event parser error c a o c p inbound mysql rds rds binlog event parser proxy dump address has an error retrying caused by java io io exception received error packet errno sqlstate hy errmsg could not find first log file name in binary log index file at com alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java canal parse jar na at com alibaba otter canal parse inbound mysql mysql connection dump mysql connection java canal parse jar na at com alibaba otter canal parse inbound event parser run event parser java canal parse jar na at java lang thread run thread java na destination cloud address event parser error com alibaba otter canal common alarm log alarm handler destination cloud java io io exception received error packet errno sqlstate hy errmsg could not find first log file name in binary log index file at com alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java at com alibaba otter canal parse inbound mysql mysql connection dump mysql connection java at com alibaba otter canal parse inbound event parser run event parser java at java lang thread run thread java journal name debug rotate log event entry position entry position string journal name position timestamp timestamp journal name filter log file name journal name position position entry position string journal name position timestamp server id journal name position timestamp server id server id string filter log file name string logfile name pattern p pattern compile mysql bin matcher m p matcher logfile name m find m group count m group logfile name string get journal name filter log file name journal name set journal name string journal name journal name filter log file name journal name haopangxu mariadb checksum mysql rotate event binlog mariadb checksum mysql
1079,不打 包进 不打 包进 解决 中 中 会 合并 application yml jar application yml jar jar application yml config bug
1078,积压 事件 时 重 启 会 丢弃 内存 中 积压 事件 吗 问题 配合 使用 时 重 启后 读取 位点 次 位置 还是 位置 根据 描述 记录 位 点 次 位点 种 行为 会 导致 重 启时 丢弃 事件 现象 提出 这个 问题 因为 实践 时候 遇到 事件 丢失 问题 现象 如下 事件 积压 大约 未 达到 设定 内存 限制 时 重 启 使用 部署 均 单 实例 使用 镜像 会 丢弃 一部分 事件 丢失 原因 猜测 根据 描述 记录 位点 猜测 原因 端 积压 事件 同时 重 启 重 启后 上次 位点 进行 消费 造成 内存 中 经过 但是 还未 丢失 代码 基于 节点 修改 使用 配合 自定义 进行 消费 为了 记录 接收 位点 对 进行 如下 修改 配置 默认 范围 内 未 交互 将 关闭 本 次 连接 下面 添加 部分 获取 指定 数量 数据 检查 日志 发现 接收 连续 范围 整体 丢弃 范围 相同 由于 入口处 打印 位点 所以 认为 没有 接收 事件 处 丢弃 部分 事件 配置 如下 请 大 神 指点 迷津 配置 有误 还是 确实 会 重启 丢失 积压 事件 事件 存储 用的 基于 内存 实现 丢失 必然 多 看看 都 写 清楚 重 启 读取 次 位点 内存 数据 虽然 会 丢失 会 基于 最后 次 消费 成功 位点 继续 所以 架构 存在 消息 丢失 只要 正确 位点 配置 问题 必须 参考 里 配置 重新 启动 时会 读取 位点 配置 问题 必须 参考 里 配置 重新 启动 时会 读取 位点 感谢 大 神 指导 问题 解决 canal server canal server zoo keeper log position manager binlog server parse client ack https github com alibaba canal wiki introduction eventparser e ae be e ae a event parser binlog parse server binlog canal server m canal server canal client zk docker compose server client zk server canal canal server v canal binlog https github com alibaba canal wiki introduction eventparser e ae be e ae a event parser parse binlog server parse parse sink store get binlog client client commit f a f fixed issue show slave hosts com alibaba otter canal client client launcher canal outer adapter binlog com alibaba otter canal client adapter loader canal adapter worker java running switcher null switcher get logger info start to connect destination canal destination connector connect logger info start to subscribe destination canal destination connector subscribe logger info subscribe destination succeed canal destination running switcher null switcher get timeout exception e server canal instance network so timeout s server server socket message message connector get without ack batch size canal entry entry entry message get entries entry get entry type equals canal entry entry type rowdata logger info receive binlog event file offset entry get header get logfile name entry get header get logfile offset client binlog canal binlog client binlog client binlog server instance xml canal deployer src main resources spring instance xml diff xml c bean com alibaba otter canal parse index failback log position manager constructor arg bean com alibaba otter canal parse index memory log position manager constructor arg constructor arg bean com alibaba otter canal parse index meta log position manager constructor arg ref meta manager bean constructor arg bean com alibaba otter canal parse index zoo keeper log position manager constructor arg index ref zk clientx c bean com alibaba otter canal parse support authentication info init method init pwd bean com alibaba otter canal parse support authentication info d property name pwd key value canal instance pwd key retl property name enable druid value canal instance enable druid false c bean com alibaba otter canal parse support authentication info init method init pwd bean com alibaba otter canal parse support authentication info d property name pwd key value canal instance pwd key retl property name enable druid value canal instance enable druid false server canal server event store wiki wiki client ack dump binlog ack file instance xml com alibaba otter canal parse index failback log position manager meta log position manager ack file instance xml com alibaba otter canal parse index failback log position manager meta log position manager ack
1076,关于 离线 读取 问题 实例 配置 文件 中 配置 重启 集群 还是 无法 获取 什么 原因 呢 实例 日志 没有 关于 信息 错误 信息 地址 运维 申请 实例 没有 问题 回溯 目前 支持 基于 时间戳 定位 会 判定 当前 是否 时间戳 数据 没有 的话 会 上去 自动 下载 然后 本地 解析 直 本地 里 时间 能 接上 如果 错误 位点 不确定 位点 错误 还是 删除 后续 可以 针对 情况 识别 优化 一下 嗯 感谢 回复 现在 问题 就是 正常 消费 已经 跑了 段 时间 但是 看着 中 实例 消费 位置 一直 没有 更新 什么 原因 呢 三 台 节点 做 如图 昨天 下午 看的 这样 没有 更新 位置 位点 更新 策略 什么 呀 文档 这么 说 接收 客户端 就 会 记录 客户端 提交 最后 位点 但是 位点 没有 更新 端 没 开启 检查 当前 节点 对应 看下 如果 成功 会 记录 信息 节点 设置 没有 看到 运行 节点 对应 嗯 集群 搭建 问题 这个 设置 问题 过滤 事务 头 尾 就 没有 可更新 位点 位点 记录 以来 事件 新 兼容 这个 参数 并不 过滤 全部 而是 会 间隔 秒 保留 事务 事件 位点 问题 做 兼容 处理 正常 位点 删除 只要 位点 里 会 自动 下载 再次 感谢 位点 更新 已经 可以 确实 问题 引发 回溯 目前 支持 基于 时间戳 定位 会 判定 当前 是否 时间戳 数据 没有 的话 会 上去 自动 下载 然后 本地 解析 直 本地 里 时间 能 接上 如果 错误 位点 不确定 位点 错误 还是 删除 后续 可以 针对 情况 识别 优化 一下 说 优化 怎么 做 的呢 现在 还是 无法 确定 到底 没 上面 下载 要 优化 已经 代码 提交 可以 基于 重新 打个 包 rds oss binlog hi rds oss binlog canal instance rds accesskey canal instance rds secretkey canal instance rds instance id canal oss binlog oss destination instance address event parser error com alibaba otter canal common alarm log alarm handler destination instance java io io exception received error packet errno sqlstate hy errmsg could not find first log file name in binary log index file at com alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java at com alibaba otter canal parse inbound mysql mysql connection dump mysql connection java at com alibaba otter canal parse inbound event parser run event parser java at java lang thread run thread java canal instance rds accesskey canal instance rds secretkey rds instance id id oss binlog mysql binlog oss binlog mysql binlog ps binlog binlog rds agapple canal clients binlog zk canal ha https user images githubusercontent com bdca dcf e aaa aec ff d jpg canal ha canal server ack server canal instance filter transaction entry true run server meta log ack agapple canal instance filter transaction entry true meta log canal instance filter transaction entry true begin end v filter rds binlog timestamp oss binlog agapple zk canal instance filter transaction entry true oss binlog mysql binlog oss binlog mysql binlog ps binlog binlog rds rds oss binlog master
1075,问题 模式 文件 设置 屏蔽 事件 但是 可以 收到 事件 可以 尝试 一下 情况 kafka canal instance filter transaction entry kafka canal properties canal instance filter transaction entry true transaction begin transactionend flat message false flat true
1071,运行 中 报错 版本 中 版本 中 运行 版本 没有 问题 可以 看到 数据包 运行 行 代码 处 报错 是否 稳定 版本 中 配置 文件 中 设置 中 原生 接收 配置 文件 中 设置 改为 原生 执行 还是 运行 写道 中 配置 文件 中 设置 中 原生 接收 报 这个 提供 方法 测试 类 不要 修改 就 使用 段 代码 没有 问题 使用 上述 测试 类 代码 设置 运行 后没 反应 块 改为 看到 报错 信息 换 消费 还是 老 谢谢 大师 canal client kafka client running test message message connector get without ack l time unit seconds list message messages connector get list l time unit seconds message deploy mq yml flat message false kafka client running test message mq yml flat message false kafka client running test message connector get without ack batch size l time unit seconds rewerma notifications github com deploy mq yml flat message false kafka client running test message you are receiving because you authored the thread reply to email directly view it on git hub or mute the thread com alibaba otter canal protocol exception canal client exception mq not support method connector get without ack batch size l time unit seconds kafka connector executor submit runnable override run connector connect connector subscribe running list message messages connector get list l time unit seconds messages null system out println messages connector ack wakeup exception e ignore connector unsubscribe connector disconnect flat message false exception caused by com alibaba otter canal protocol exception canal client exception deserializer failed at com alibaba otter canal client canal message deserializer deserializer canal message deserializer java at com alibaba otter canal client canal message deserializer deserializer canal message deserializer java at com alibaba otter canal client kafka message deserializer deserialize message deserializer java at com alibaba otter canal client kafka message deserializer deserialize message deserializer java at org apache kafka common serialization extended deserializer wrapper deserialize extended deserializer java at org apache kafka common serialization extended deserializer wrapper deserialize extended deserializer java at org apache kafka clients consumer internals fetcher parse record fetcher java at org apache kafka clients consumer internals fetcher access fetcher java at org apache kafka clients consumer internals fetcher partition records fetch records fetcher java at org apache kafka clients consumer internals fetcher partition records access fetcher java at org apache kafka clients consumer internals fetcher fetch records fetcher java at org apache kafka clients consumer internals fetcher fetched records fetcher java at org apache kafka clients consumer kafka consumer poll once kafka consumer java at org apache kafka clients consumer kafka consumer poll kafka consumer java at com alibaba otter canal client kafka kafka canal connector get list without ack kafka canal connector java at com alibaba otter canal client kafka kafka canal connector get list kafka canal connector java at com alibaba otter canal client running kafka kafka client running test run kafka client running test java at java util concurrent executors runnable adapter call executors java at java util concurrent future task run future task java at java util concurrent thread pool executor run worker thread pool executor java at java util concurrent thread pool executor worker run thread pool executor java at java lang thread run thread java caused by com google protobuf invalid protocol buffer exception protocol message end group tag did not match expected tag at com google protobuf invalid protocol buffer exception invalid end tag invalid protocol buffer exception java at com google protobuf coded input stream array decoder check last tag was coded input stream java at com google protobuf coded input stream array decoder read group coded input stream java at com google protobuf unknown field set builder merge field from unknown field set java group id falt message ok
