issue_id,issue_content
1086,application yml configuration settings template
1084,
1083,flat send rocket mq appears send packets kafka problem url code returned array arrays judgment send null message mq kafka problem question god answer flat message object attribute data length circumstances greater dml operation data size greater
1082,cana kafak version build kafka consumer client parse rowdata type store info canal client running kafka canal kafka client message raw true raw entries resolve store tossing time refer message util parse dml
1081,maria db version database journal garbled maria db version canal booting error warn inbound mysql rds rds binlog event parser proxy prepare start position position identity slave source address address port postion gtid included false journal mysql bin æ position server timestamp warn inbound mysql rds rds binlog event parser proxy start position entry position error canal parse inbound mysql dbsync direct log fetcher error reading client socket java io io exception received error packet errno sqlstate hy errmsg log file binary log file alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java alibaba otter canal parse inbound mysql mysql connection dump mysql connection java alibaba otter canal parse inbound event parser event parser java java lang thread thread java error inbound mysql rds rds binlog event parser proxy dump address error retrying caused java io io exception received error packet errno sqlstate hy errmsg log file binary log file alibaba otter canal parse inbound mysql dbsync direct log fetcher fetch direct log fetcher java alibaba otter canal parse inbound mysql mysql connection dump mysql connection java alibaba otter canal parse inbound event parser event parser java java lang thread thread java error alibaba otter canal common alarm log alarm handler destination cloud garbled journal solve local heavy existing debug ability resolution process rotate log event changed entry position analytical method entry position string journal position timestamp timestamp journal filter log file journal position position entry position string journal position timestamp server journal position timestamp server server string filter log file string logfile pattern pattern compile mysql bin matcher matcher logfile group count group logfile string journal filter log file journal set journal string journal journal filter log file journal good reform hard coded process saving country finding root haopangxu change main reason mariadb consistent mysql handling checksum behavior rotate_event binlog object mariab execute checksum mysql special judgment
1079,application yml packaged jar application yml packaged jar solve merge error application yml config jar
1078,canal server reboot backlog event discard backlog memory problem canal server cooperation zoo keeper log position manager read restarting binlog locus server time parse position client ack position https github alibaba canal wiki introduction eventparser ae ae description event parser recorded binlog time parse behavior site site lead server drop event reboot phenomenon question raised encountered practice binlog problem missing events canal server event backlog restarts set memory limit reached canal server canal client zk 使用 docker compose deploy server client zk single instance server mirroring canal canal server canal events discarded binlog lost reason guess https github alibaba canal wiki introduction eventparser ae ae description event parser record parse arrived binlog reason site guess server terminal restarts restarting event time parse consumption site caused memory parse sink store binlog lost client code client based commit node fixed issue slave hosts modify alibaba otter canal client client launcher custom canal outer adapter purchase order record received binlog site pair alibaba otter canal client adapter loader canal adapter worker modifications java running switcher null switcher logger info start connect destination canal destination connector connect logger info start subscribe destination canal destination connector subscribe logger info subscribe destination succeed canal destination running switcher null switcher timeout exception server configuration canal instance network timeout server interact server scope socket connection closed message message connector ack batch_size data canal entry entry entry message entries entry entry type equals canal entry entry type rowdata logger info receive binlog event file offset entry header logfile entry header logfile offset examination client log received binlog discontinuous range canal totally discarded binlog range client printed entrance binlog site client received binlog event server discarded incident configuration instance xml canal deployer src main resources spring instance xml diff xml bean alibaba otter canal parse failback log position manager constructor arg bean alibaba otter canal parse memory log position manager constructor arg constructor arg bean alibaba otter canal parse meta log position manager constructor arg meta manager bean constructor arg bean alibaba otter canal parse zoo keeper log position manager constructor arg zk clientx bean alibaba otter canal parse support authentication info init method init pwd bean alibaba otter canal parse support authentication info property pwd key canal instance pwd key retl property enable druid canal instance enable druid false bean alibaba otter canal parse support authentication info init method init pwd bean alibaba otter canal parse support authentication info property pwd key canal instance pwd key retl property enable druid canal instance enable druid false gods confused configuration wrong server lose backlog events reboot storage canal server event based memory implementation event store losing inevitable wiki wiki written restart reading client ack memory data lost dump based successful consumption binlog message loss architecture correct ack site configuration problem refer file instance xml alibaba otter canal parse failback log position manager configuration read meta log position manager restarting ack locus configuration problem refer file instance xml alibaba otter canal parse failback log position manager configuration read meta log position manager restarting ack locus god guiding problem solved
1076,rds oss binlog offline read problem configured instance configuration file rds oss binlog canal instance rds accesskey canal instance rds secretkey canal instance rds instance restart canal cluster binlog oss reason instance log oss error message error alibaba otter canal common alarm log alarm handler destination instance https user images githubusercontent bdca dcf aaa aec jpg yesterday afternoon update position canal update strategy ha site documentation canal receiving ack client server record site submitted client site updated open canal instance filter transaction entry true server check meta log server node current ack recorded agapple set canal instance filter transaction entry true node running node meta log problem cluster setup canal instance filter transaction entry true set questions filters header tail updates bit record recorded compatible parameter filter filter transaction event seconds rds problem binlog site compatible normal site deleted timestamp site oss downloaded automatically binlog agapple zk site update caused problem canal instance filter transaction entry true oss binlog backtracking supports timestamp based positioning determine current mysql binlog data timestamp automatically download binlog oss parse locally local mysql time connected binlog ps wrong binlog site site error binlog deleted optimize rds rds optimization determine oss download binlog optimization submitted code based master
1075,kafka canal instance filter transaction entry problem kafka mode set canal instance filter transaction entry true canal properties file masked transaction event receive transactionend event flat message false flat true
1071,canal running client kafka client running test error version message message connector ack time unit seconds version list message messages connector list time unit seconds problem running version message packet runs error reported code stable version set flat message configuration mq yml file deploy false kafka client running test message reception configure mq yml file set flat message false kafka client running test message connector ack batch size time unit seconds execution rewerma notifications github write set flat message configuration mq yml file deploy false kafka client running test message reception receiving authored thread reply view git hub mute thread 报com alibaba otter canal protocol exception canal client exception mq support method connector ack batch size time unit seconds method kafka connector test modify problem code executor submit runnable override connector connect connector subscribe running list message messages connector list time unit seconds messages null println messages connector ack wakeup exception ignore connector unsubscribe connector disconnect test code flat message set false running response change block exception error message caused alibaba otter canal protocol exception canal client exception deserializer failed alibaba otter canal client canal message deserializer deserializer canal message deserializer java alibaba otter canal client canal message deserializer deserializer canal message deserializer java alibaba otter canal client kafka message deserializer deserialize message deserializer java alibaba otter canal client kafka message deserializer deserialize message deserializer java org apache kafka common serialization extended deserializer wrapper deserialize extended deserializer java org apache kafka common serialization extended deserializer wrapper deserialize extended deserializer java org apache kafka clients consumer internals fetcher parse record fetcher java org apache kafka clients consumer internals fetcher access fetcher java org apache kafka clients consumer internals fetcher partition records fetch records fetcher java org apache kafka clients consumer internals fetcher partition records access fetcher java org apache kafka clients consumer internals fetcher fetch records fetcher java org apache kafka clients consumer internals fetcher fetched records fetcher java org apache kafka clients consumer kafka consumer poll kafka consumer java org apache kafka clients consumer kafka consumer poll kafka consumer java alibaba otter canal client kafka kafka canal connector list ack kafka canal connector java alibaba otter canal client kafka kafka canal connector list kafka canal connector java alibaba otter canal client running kafka kafka client running test kafka client running test java java util concurrent executors runnable adapter executors java java util concurrent future task future task java java util concurrent thread pool executor worker thread pool executor java java util concurrent thread pool executor worker thread pool executor java java lang thread thread java caused google protobuf invalid protocol buffer exception protocol message group tag match expected tag google protobuf invalid protocol buffer exception invalid tag invalid protocol buffer exception java google protobuf coded input stream array decoder check tag coded input stream java google protobuf coded input stream array decoder read group coded input stream java google protobuf unknown field set builder merge field unknown field set java group falt message consuming master
