issue_id,issue_content
2911,修复 名称 不正确 问题 修复 名称 不正确 问题 此前 版本 修正 过 但是 因为 次 合并 覆盖 回去 修正 com mysql jdbc replication driver com mysql jdbc replication driver https cla assistant io pull badge signed https cla assistant io alibaba druid pull request br all committers have signed the cla https cla assistant io pull badge not signed https cla assistant io alibaba druid pull request br thank you your submission we really appreciate it like many open source projects we ask that you sign our https cla assistant io alibaba druid pull request before we can accept your contribution br sub you have signed the cla already but the status is still pending let us https cla assistant io check alibaba druid pull request it sub
2910,如何 获取 语句 解析 如何 获取 select list string sql select a b c inc d add e decode x from dual group by a b c list
2909,语句 能 解析 sqlserver with cte as delete druid version caused by java sql sql exception sql injection violation syntax error todo pos line column token delete with wyb as select id from sys menu where id union all select a id from sys menu a join wyb on a parent id wyb id delete from sys role menu where menu id in select id from wyb at com alibaba druid wall wall filter check internal wall filter java at com alibaba druid wall wall filter connection prepare statement wall filter java at com alibaba druid filter filter chain impl connection prepare statement filter chain impl java at com alibaba druid filter filter adapter connection prepare statement filter adapter java at com alibaba druid filter filter event adapter connection prepare statement filter event adapter java at com alibaba druid filter filter chain impl connection prepare statement filter chain impl java at com alibaba druid proxy jdbc connection proxy impl prepare statement connection proxy impl java at com alibaba druid pool druid pooled connection prepare statement druid pooled connection java at sun reflect method accessor impl invoke method at sun reflect method accessor impl invoke method accessor impl java at sun reflect delegating method accessor impl invoke delegating method accessor impl java at java lang reflect method invoke method java
2908,数据源 等待 最大 时 长 参数 单位 想 请问 这个 参数 等待 最大 时 长 单位 什么 以及 相关 统计 具体 源码 可否 提示 哪里 druid monitor https user images githubusercontent com e d e e d f cfc c db png thanks
2907,请 问 什么 方式 能 将 读取 出 进行 加工 重新 生成 想 中 做 一些 修改 比如 添加 查询 条件 之后 生成 新 请问 什么 方法 没 感谢 ast sql ast sql
2906,使用 时 总是 报 注入 异常 文件 中 添加 如下 配置 然后 文件 中 使用 如下 配置 注意 中 使用 mysql with as druid sql pom dependency group id mysql group id artifact id mysql connector java artifact id version version dependency yml url server timezone gmt b mysql url jdbc mysql tuiguang use unicode true use ssl false server timezone gmt b auto reconnect true allow key retrieval true username developer password driver name com mysql cj jdbc driver
2905,连接 池 中 获取 失效 连接 检验 连接 有效性 时 出现 长时间 等待 大概 分钟 生产 环境 数据 库里 连接 失效 连接 池 中 获取 前 检查 时会 出现 长时间 等待 大概 分钟 现在 能 增加 做 保活 但是 一旦 新的 连接 释放 获取 如果 连接 失效 还是 分钟 等待 出现 检查 原因 防火墙 会 主动 切断 超过 小时 活跃 数据库 连接 已经 安排 数据库 端 分钟 发送 小包 保 活 keepalive
2904,输入 用户 名 密码 之后 重复 页面 报错 输入 用户 名 密码 之后 重复 页面 报错 请 问这 怎么 回 事 基本 配置 如下 依赖 基本 配置 类 配置 监控 配置 管理 后台 后台 登录 用户 后台 登录 密码 默认 允许 所有 访问 配置 监控 哪些 文件 进行 过滤 具体 什么 问题 吗 springboot druid login springboot druid login spring datasource type com alibaba druid pool druid data source spring datasource druid initial size spring datasource druid max active spring datasource druid min idle spring datasource druid max wait spring datasource druid pool prepared statements true spring datasource druid max pool prepared statement per connection size spring datasource druid max open prepared statements spring datasource druid validation query select spring datasource druid validation query timeout spring datasource druid test on borrow true spring datasource druid test on false spring datasource druid test idle false spring datasource druid filters stat wall spring datasource druid web stat filter enabled true spring datasource druid connection properties druid stat merge sql true druid stat slow sql millis spring datasource druid use global data source stat true spring jpa show sql true spring jpa hibernate naming physical strategy org hibernate boot model naming physical naming strategy standard impl pom dependency group id com alibaba group id artifact id druid spring boot starter artifact id version version dependency configuration druid config primary bean name data source configuration properties spring datasource druid data source data source one druid data source builder create build druid servlet bean servlet registration bean stat view servlet servlet registration bean servlet registration bean servlet registration bean stat view servlet druid map string string init paras hash map init paras put login username admin init paras put login password admin init paras put allow servlet registration bean set init parameters init paras servlet registration bean filter bean filter registration bean webstat filter filter registration bean filter registration bean filter registration bean filter registration bean set filter web stat filter map string string init paras hash map init paras put exclusions js css druid filter registration bean set init parameters init paras filter registration bean set url patterns arrays as list filter registration bean
2903,获取 解析 外层 表 字段 映射 关系 问题 结果 团队 能 提供 属性 出现 位置 吗 比如 需要 获取 外层 java string sql select a name from select u name u age from user u inner join alert al on alert id user id a string sql select c a as e c b from select a count b from alert c string sql select a name c from alert a sql expr parser expr parser sql parser utils create expr parser sql mysql list sql statement sql statements sql utils parse statements sql jdbc constants mysql schema stat visitor stat visitor sql utils create schema stat visitor jdbc constants mysql sql statements get accept stat visitor collection table stat column columns stat visitor get columns table stat column column columns column is select system out println column to string user name user age select user name
2902,使用 查询 数据 将 升级 报 连接 关闭 失败 连接 已经 关闭 求教 各位 大佬 使用 查询 数据 将 升级 报 连接 关闭 失败 连接 已经 关闭 可能 相关 问题 现象 项目 初始化 连接 池 初始化 成功 查询 成功 半 小时 出现 连接 关闭 失败 错误 随后 隔 较长 一段时间 分钟 后者 更 长 时间 查询 报 连接 关闭 失败 随后 查询 成功 随后 将 版本 回退 经过 多次 测试 未 出现 具体 错误 信息 如下 其他 组件 版本 如下 配置 如下 impala jdbc druid mybatis impala druid druid error impala jdbc druid mybatis impala druid druid error https github com alibaba druid issues https github com alibaba druid issues impala druid error error com alibaba druid util jdbc utils close connection error java sql sql non connection exception connection has been closed at com cloudera impala exceptions exception converter to sql exception unknown source at com cloudera impala jdbc common s connection close connection unknown source at com cloudera impala jdbc common s connection abort internal unknown source at com cloudera impala jdbc common s connection close unknown source at com alibaba druid filter filter chain impl connection close filter chain impl java at com alibaba druid filter stat stat filter connection close stat filter java at com alibaba druid filter filter chain impl connection close filter chain impl java at com alibaba druid proxy jdbc connection proxy impl close connection proxy impl java at com alibaba druid util jdbc utils close jdbc utils java at com alibaba druid pool druid data source discard connection druid data source java at com alibaba druid pool druid data source get connection direct druid data source java at com alibaba druid filter filter chain impl data source connect filter chain impl java at com alibaba druid filter stat stat filter data source get connection stat filter java at com alibaba druid filter filter chain impl data source connect filter chain impl java at com alibaba druid pool druid data source get connection druid data source java at com alibaba druid pool druid data source get connection druid data source java at com alibaba druid pool druid data source get connection druid data source java at org springframework jdbc datasource data source utils get connection data source utils java at org springframework jdbc datasource data source utils get connection data source utils java at org mybatis spring transaction spring managed transaction open connection spring managed transaction java at org mybatis spring transaction spring managed transaction get connection spring managed transaction java at org apache ibatis executor base executor get connection base executor java at org apache ibatis executor simple executor prepare statement simple executor java at org apache ibatis executor simple executor query simple executor java at org apache ibatis executor base executor query from database base executor java at org apache ibatis executor base executor query base executor java at org apache ibatis executor caching executor query caching executor java at org apache ibatis executor caching executor query caching executor java at org apache ibatis session defaults sql session select list sql session java at org apache ibatis session defaults sql session select list sql session java at org apache ibatis session defaults sql session select one sql session java at sun reflect method accessor impl invoke method at sun reflect method accessor impl invoke method accessor impl java at sun reflect delegating method accessor impl invoke delegating method accessor impl java at java lang reflect method invoke method java at org mybatis spring sql session template sql session interceptor invoke sql session template java at com sun proxy proxy select one unknown source at org mybatis spring sql session template select one sql session template java at org apache ibatis binding mapper method execute mapper method java at org apache ibatis binding mapper proxy invoke mapper proxy java at com sun proxy proxy query cnt unknown source impala jdbc mybatis spring boot starter druid spring boot starter druid druid data source druid data source druid data source druid data source set driver name impala jdbc driver druid data source set url impala db url druid data source set max active druid data source set min idle druid data source set max wait druid data source set initial size druid data source set validation query select druid data source set filters stat druid data source set name impala druid data source set use global data source stat true druid data source
2901,为什么 没有 继承 继承 更 高 级 对象 不是 语义 理解 有点 绕口 有点 整数 数 感觉 想 问 一下 这样 设计 原因 什么 呢 sql integer expr sql number expr sql numeric literal expr sql integer expr sql number expr
2900,内置 监控 页面 显示 显示 实际 参数 值 内置 监控 页面 显示 显示 实际 参数 值 sql detail html last slow parameters null sql detail html last slow parameters null
2899,属性 属性 前后 顺序 没 问题 但是 出现 错误 采用 格式 配置 文件 错误 提示 还是 需要 自己 手动 配置 吗 求解 druid spring boot start autoconfig bug min evictable idle time millis max evictable idle time millis yml reason max evictable idle time millis must be grater than min evictable idle time millis
2898,版本 疑惑 为什么 中 依赖 中 版本 还是 呢 啊 求 更新 现在 遇到 问题 需要 自己 手动 配置 两 属性 吗 spring boot spring boot x spring boot version release spring boot version max evictable idle time millis must be grater than min evictable idle time millis
