issue_id,issue_content
2911,mysql jdbc replication driver incorrect mysql jdbc replication driver incorrect previous version fixed merge overwritten corrected https cla assistant io pull badge signed https cla assistant io alibaba druid pull request br committers signed cla https cla assistant io pull badge not_signed https cla assistant io alibaba druid pull request br submission open source projects sign https cla assistant io alibaba druid pull request accept contribution br signed cla status pending https cla assistant io check alibaba druid pull request
2910,select list statement string sql select add decode dual group list parsing add decode
2909,sqlserver cte delete statement parsed druid version caused java sql sql exception sql injection violation syntax error todo pos column token delete wyb select sys_menu union select sys_menu join wyb parent_id wyb delete sys_role_menu menu_id select wyb alibaba druid wall wall filter check internal wall filter java alibaba druid wall wall filter connection_prepare statement wall filter java alibaba druid filter filter chain impl connection_prepare statement filter chain impl java alibaba druid filter filter adapter connection_prepare statement filter adapter java alibaba druid filter filter event adapter connection_prepare statement filter event adapter java alibaba druid filter filter chain impl connection_prepare statement filter chain impl java alibaba druid proxy jdbc connection proxy impl prepare statement connection proxy impl java alibaba druid pool druid pooled connection prepare statement druid pooled connection java sun reflect method accessor impl invoke method sun reflect method accessor impl invoke method accessor impl java sun reflect delegating method accessor impl invoke delegating method accessor impl java java lang reflect method invoke method java
2908,druid monitor data source unit waiting maximum duration parameter https user images githubusercontent cfc db png unit maximum waiting time parameter specific source code relevant statistics
2907,regenerate sql processing read ast ast adding query condition generate sql
2906,mysql time druid reports sql injection exception add configuration pom file dependency group mysql group artifact mysql connector java artifact version version dependency configuration yml file note server timezone gmt url mysql url jdbc mysql tuiguang unicode true ssl false server timezone gmt auto reconnect true key retrieval true username developer password driver mysql cj jdbc driver
2905,obtaining failed connection connection pool waiting minutes checking validity connection connection production environment database expired pre check connection pool wait minutes keepalive live connection released acquired connection expired minutes waiting reason check firewall actively cut inactive database connection hour database scheduled send packets minutes
2904,springboot druid enter username password repeat login error springboot druid entering username password repeat login leave error basic configuration spring datasource type alibaba druid pool druid data source spring datasource druid initial size spring datasource druid max active spring datasource druid min idle spring datasource druid max wait spring datasource druid pool prepared statements true spring datasource druid max pool prepared statement connection size spring datasource druid max open prepared statements spring datasource druid validation query select spring datasource druid validation query timeout spring datasource druid test borrow true spring datasource druid test false spring datasource druid test idle false spring datasource druid filters stat wall spring datasource druid web stat filter enabled true spring datasource druid connection properties druid stat merge sql true druid stat slow sql millis spring datasource druid global data source stat true spring jpa sql true spring jpa hibernate naming physical strategy org hibernate boot model naming physical naming strategy standard impl pom dependence dependency group alibaba group artifact druid spring boot starter artifact version version dependency basic configuration configuration druid config primary bean data source configuration properties spring datasource druid data source data source druid data source builder create build configure druid monitoring configure servlet management background bean servlet registration bean stat view servlet servlet registration bean servlet registration bean servlet registration bean stat view servlet druid map string string init paras hash map init paras login username admin background login user init paras login password admin background login password init paras access servlet registration bean set init parameters init paras servlet registration bean configure monitored filter bean filter registration bean webstat filter filter registration bean filter registration bean filter registration bean filter registration bean set filter web stat filter map string string init paras hash map init paras exclusions js css druid files filtered filter registration bean set init parameters init paras filter registration bean set url patterns arrays list filter registration bean specific problem
2903,problem parsing mapping outermost table field java string sql select select age user join alert al alert user string sql select select count alert string sql select alert sql expr parser expr parser sql parser utils create expr parser sql mysql list sql statement sql statements sql utils parse statements sql jdbc constants mysql schema stat visitor stat visitor sql utils create schema stat visitor jdbc constants mysql sql statements accept stat visitor collection table stat column columns stat visitor columns table stat column column columns column select println column string result user user age team provide location select attribute appears outermost user
2902,impala jdbc druid mybatis query impala data upgrade druid druid report connection closed failure connection closed error impala jdbc druid mybatis query impala data upgrade druid druid report connection closed failure connection closed error issues https github alibaba druid issues https github alibaba druid issues phenomenon project initialized connection pool initialized hour successful query connection closes failure error period time minutes longer querying impala report connection closed query succeeds druid version rolled error occur multiple tests specific error message error alibaba druid util jdbc utils connection error java sql sql connection exception connection closed cloudera impala exceptions exception converter sql exception unknown source cloudera impala jdbc common connection connection unknown source cloudera impala jdbc common connection abort internal unknown source cloudera impala jdbc common connection unknown source alibaba druid filter filter chain impl connection_close filter chain impl java alibaba druid filter stat stat filter connection_close stat filter java alibaba druid filter filter chain impl connection_close filter chain impl java alibaba druid proxy jdbc connection proxy impl connection proxy impl java alibaba druid util jdbc utils jdbc utils java alibaba druid pool druid data source discard connection druid data source java alibaba druid pool druid data source connection direct druid data source java alibaba druid filter filter chain impl data source_connect filter chain impl java alibaba druid filter stat stat filter data source_get connection stat filter java alibaba druid filter filter chain impl data source_connect filter chain impl java alibaba druid pool druid data source connection druid data source java alibaba druid pool druid data source connection druid data source java alibaba druid pool druid data source connection druid data source java org springframework jdbc datasource data source utils connection data source utils java org springframework jdbc datasource data source utils connection data source utils java org mybatis spring transaction spring managed transaction open connection spring managed transaction java org mybatis spring transaction spring managed transaction connection spring managed transaction java org apache ibatis executor base executor connection base executor java org apache ibatis executor simple executor prepare statement simple executor java org apache ibatis executor simple executor query simple executor java org apache ibatis executor base executor query database base executor java org apache ibatis executor base executor query base executor java org apache ibatis executor caching executor query caching executor java org apache ibatis executor caching executor query caching executor java org apache ibatis session defaults sql session select list sql session java org apache ibatis session defaults sql session select list sql session java org apache ibatis session defaults sql session select sql session java sun reflect method accessor impl invoke method sun reflect method accessor impl invoke method accessor impl java sun reflect delegating method accessor impl invoke delegating method accessor impl java java lang reflect method invoke method java org mybatis spring sql session template sql session interceptor invoke sql session template java sun proxy proxy select unknown source org mybatis spring sql session template select sql session template java org apache ibatis binding mapper method execute mapper method java org apache ibatis binding mapper proxy invoke mapper proxy java sun proxy proxy query cnt unknown source component versions impala jdbc mybatis spring boot starter druid spring boot starter druid configuration druid data source druid data source druid data source druid data source set driver impala_jdbc_driver druid data source set url impala_db_url druid data source set max active druid data source set min idle druid data source set max wait druid data source set initial size druid data source set validation query select druid data source set filters stat druid data source set impala druid data source set global data source stat true druid data source
2901,sql integer expr inheritance sql number expr inherited higher level sql numeric literal expr object sql integer expr sql number expr semantic understanding bit circle integer number reason design
2900,built monitoring sql html slow parameters displays null display actual parameter values built monitoring sql html slow parameters displays null display actual parameter values
